job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description
         Maintenance Engineer Manager/ผู้จัดการฝ่ายวิศวกรรม (บริหารอาคารสำนักงาน)        ,"[('engineering', 'maintenance'), ('management', 'top-executives')]",            Senior level           ,            10 years experience           ,           Salary provided                       ,          Full Time         ,[],[],หน้าที่รับผิดชอบ :วางแผนและควบคุมการทำงานของผู้ใต้บังคับบัญชาตามโครงการที่ได้รับมอบหมาย ให้เป็นไปตามมาตรฐานวางแผนและควบคุม พร้อมชี้แจงให้ผู้ร่วมงานและผู้ใต้บังคับบัญชาได้รับทราบ และปฏิบัติควบคุมและตรวจสอบการปฏิบัติงานของผู้ใต้บังคับบัญชา ให้เป็นไปตามมาตรฐานในการทำงานให้คำปรึกษาและแก้ไขปัญหาเกี่ยวกับการทำงานร่วมกันกับผู้ใต้บังคับบัญชาให้ได้ประสิทธิผลคุณสมบัติเพิ่มเติม :วุฒิปริญญาตรี-ปริญญาโท สาขาวิศวกรรมเครื่องกล ไฟฟ้ากำลัง (มีกว.)มีประสบการณ์ด้านงานบริหารจัดการอาคารสำนักงานขนาดใหญ่5ปี มีทักษะในงานด้านบริหารมีทักษะทางด้านการบริหารจัดการ และมีความเป็นผู้นำมีมนุษยสัมพันธ์ดี และมีใจรักงานบริการสามารถทำงานภายใต้สภาพแวดล้อมที่กดดันได้สามารถใช้คอมพิวเตอร์โปรแกรมพื้นฐานได้ดีสามารถสื่อสารภาษาอังกฤษได้ปฏิบัติงาน 6 วัน/สัปดาห์บริษัท พลัส พร็อพเพอร์ตี้ จำกัดสิริแคมปัส อาคาร Dเลขที่59 ซอยริมคลองพระโขนง แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 
         Building Manager - Condo/Building Manager - Condo        ,"[('sales-cs-business-devpt', 'customer-service'), ('management', 'general-management'), ('hospitality-foodbeverage', 'operation')]",            Senior level           ,            3 years experience           ,           Salary provided                       ,          Full Time         ,"[""Job Description :Respond to clients' needs, ensuring that administrative and building technical staff resolve problem promptly.Ensure that services are provided in compliance with policies and procedures regulations and contractual obligations standards.Ensure periodic regular property inspection. Recommends and/or approves alterations maintenance and reconditioning as necessary.Supervises vendors or sub-contractors as required. ""]","['s :Bachelor degreein any field Minimum 2 years experience in a managerial role in the same or related field.Experience in the Building Manager Font Office ManagerEnthusiasm for the hospitality service industry.Effective management and supervisory skills.Strong leadership and good interpersonal skill to deal effectively with employees at all levels.Ability to respond to guests efficiently and resolve issues.Good command of English communication skills and computer literateDynamic personality, good team player Able to work 6 days per week  ']","Job Description :Respond to clients' needs, ensuring that administrative and building technical staff resolve problem promptly.Ensure that services are provided in compliance with policies and procedures regulations and contractual obligations standards.Ensure periodic regular property inspection. Recommends and/or approves alterations maintenance and reconditioning as necessary.Supervises vendors or sub-contractors as required. Qualifications :Bachelor degreein any field Minimum 2 years experience in a managerial role in the same or related field.Experience in the Building Manager Font Office ManagerEnthusiasm for the hospitality service industry.Effective management and supervisory skills.Strong leadership and good interpersonal skill to deal effectively with employees at all levels.Ability to respond to guests efficiently and resolve issues.Good command of English communication skills and computer literateDynamic personality, good team player Able to work 6 days per week  "
         Planning Officer/เจ้าหน้าที่วางแผน        ,"[('accounting', 'others'), ('banking-finance', 'others'), ('management', 'general-management')]",            Entry Level           ,            2 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ",[''],"[""s   :Age not more than 23 years old.Bachelor's degree in Business Administration, Economics or related fields and possess G.P.A. of Bachelor's degree at least 2.75Good interpersonal skill and good communication skillGood computer skills (MS office, Internet, etc.)Experience in ERP system and ability in SAP application will be an advantageFair command of written and spoken English       We offer a competitive salary commensurate with qualifications and experience, selected candidate will receive a full range of fringe benefits such as annual bonus, provident fune, medical fee, group accident insurance, and uniform.       Interested and qualified candidates should send an updated resume together with a recent photo and copy of transcripts to :Human Resources ManagerSitthinan Co.,Ltd.90/54-57, 19th Fl., Sathorn Thani Bldg.,North Sathorn Rd., Silom, Bangrak, Bangkok 10500Tel : 0-2233-3990-9 Ext.1986Website : www.sitthinan.co.th ""]","Qualifications   :Age not more than 23 years old.Bachelor's degree in Business Administration, Economics or related fields and possess G.P.A. of Bachelor's degree at least 2.75Good interpersonal skill and good communication skillGood computer skills (MS office, Internet, etc.)Experience in ERP system and ability in SAP application will be an advantageFair command of written and spoken English       We offer a competitive salary commensurate with qualifications and experience, selected candidate will receive a full range of fringe benefits such as annual bonus, provident fune, medical fee, group accident insurance, and uniform.       Interested and qualified candidates should send an updated resume together with a recent photo and copy of transcripts to :Human Resources ManagerSitthinan Co.,Ltd.90/54-57, 19th Fl., Sathorn Thani Bldg.,North Sathorn Rd., Silom, Bangrak, Bangkok 10500Tel : 0-2233-3990-9 Ext.1986Website : www.sitthinan.co.th "
         Building Manager - Office Building/ผู้จัดการอาคาร - สำนักงาน        ,"[('admin-hr', 'administration-operation-clerical-support'), ('management', 'general-management'), ('property', 'property-management')]",            Senior level           ,            3 years experience           ,           Salary provided                       ,          Full Time         ,[],[],วางแผนและควบคุมการทำงานของผู้ใต้บังคับบัญชาตามโครงการที่ได้รับมอบหมาย ให้เป็นไปตามมาตรฐานวางแผนและควบคุม พร้อมชี้แจงให้ผู้ร่วมงานและผู้ใต้บังคับบัญชาได้รับทราบ และปฏิบัติควบคุมและตรวจสอบการปฏิบัติงานของผู้ใต้บังคับบัญชา ให้เป็นไปตามมาตรฐานในการทำงานให้คำปรึกษาและแก้ไขปัญหาเกี่ยวกับการทำงานร่วมกันกับผู้ใต้บังคับบัญชาให้ได้ประสิทธิผลคุณสมบัติเพิ่มเติม :วุฒิปริญญาตรี-ปริญญาโท ทุกสาขามีประสบการณ์ด้านงานบริหารจัดการอาคารสำนักงานอย่างน้อย 3ปีมีทักษะในงานด้านบริหารมีทักษะทางด้านการบริหารจัดการ และมีความเป็นผู้นำมีมนุษยสัมพันธ์ดี และมีใจรักงานบริการสามารถทำงานภายใต้สภาพแวดล้อมที่กดดันได้สามารถใช้คอมพิวเตอร์โปรแกรมพื้นฐานได้ดีสามารถสื่อสารภาษาอังกฤษได้ปฏิบัติงาน 6 วัน/สัปดาห์ 
         Assistant Company Secretary         ,"[('admin-hr', 'secretary-personal-assistant'), ('management', 'general-management'), ('professional-services', 'legal-compliance')]",            Top level           ,            3 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ","['Job descriptionTo manage process of setting detailed plan, work process and procedure regarding the Board of Directors, and Subcommittees to be in compliance with the Company’s Articles of Association and the relevant laws such as Public Limited Companies Act, Life Insurance Act, Securities andExchange Act, and OIC notifications and regulations etc.To Manage process of providing advice and recommendation to Board of Directors with respect to their roles and responsibilities as well as to facilitate them to comply with applicable laws and regulationsTo Manage process ofany amendment on the Company’s registration of new Director, Authorized Director, and cross director as well as certifying related documents which need to be submitted to the Department of Business Development and the Office of Insurance CommissionTo manage and control over Board of Directors’ direction and policies in order to ensure that those actions and decisions are communicated and followed up where necessaryTo perform other tasks assigned by the Executives, Executives Committee, Board of Directors and Shareholders’ Meeting of the CompanyTo manage and control over resolutions, requests and initiatives arising from Board of Directors’ Meetings in order to ensure that those actions and decisions are communicated and followed up where necessary ']","['Experience in Company Secretary Function at least 3 yearsBachelor/Master Degree in Laws, Arts, Business Administration, Economics, Finance and Banking or any other related fields.Have good English reading, writing, speaking and listening skills.Have good command for use of computer software (Microsoft Office, Internet)Have negotiation and coordination skills and good human relations.Able to keep the Company’s confidential information.Recruitment Section, Human Resources Department (Head Office)Muang Thai Life Assurance Public Company Limited 250 Ratchadaphisek Rd., Huaykwang, Bangkok 10310 Tel. 0-2290-6186 Fax. 0-2276-1997-8 ']","Job descriptionTo manage process of setting detailed plan, work process and procedure regarding the Board of Directors, and Subcommittees to be in compliance with the Company’s Articles of Association and the relevant laws such as Public Limited Companies Act, Life Insurance Act, Securities andExchange Act, and OIC notifications and regulations etc.To Manage process of providing advice and recommendation to Board of Directors with respect to their roles and responsibilities as well as to facilitate them to comply with applicable laws and regulationsTo Manage process ofany amendment on the Company’s registration of new Director, Authorized Director, and cross director as well as certifying related documents which need to be submitted to the Department of Business Development and the Office of Insurance CommissionTo manage and control over Board of Directors’ direction and policies in order to ensure that those actions and decisions are communicated and followed up where necessaryTo perform other tasks assigned by the Executives, Executives Committee, Board of Directors and Shareholders’ Meeting of the CompanyTo manage and control over resolutions, requests and initiatives arising from Board of Directors’ Meetings in order to ensure that those actions and decisions are communicated and followed up where necessary QualificationExperience in Company Secretary Function at least 3 yearsBachelor/Master Degree in Laws, Arts, Business Administration, Economics, Finance and Banking or any other related fields.Have good English reading, writing, speaking and listening skills.Have good command for use of computer software (Microsoft Office, Internet)Have negotiation and coordination skills and good human relations.Able to keep the Company’s confidential information.Recruitment Section, Human Resources Department (Head Office)Muang Thai Life Assurance Public Company Limited 250 Ratchadaphisek Rd., Huaykwang, Bangkok 10310 Tel. 0-2290-6186 Fax. 0-2276-1997-8 "
"         HR&GA Manager/ Amata Nakorn, Chonburi/ Up to 50,000        ","[('admin-hr', 'others'), ('management', 'general-management')]",            Middle level           ,            5 years experience           ,"           THB30,000 - 55,000 /month (negotiable)                     ",          Full Time         ,[],[],"Location:Amata Nakorn Industrial Estate, ChonburiSalary: Up to 50,000Workday: Mon.-Sat.Work hour: 8.00-17.00Job description- To implement plans in accordance with organizational policies- Create activity plans to strengthen labor relations- Develop the main personnel plan, single plan- Establish a performance management system suitable for the organization- Analyze data for compensation and welfare structure- Create KM (Knowledge Management) and set guidelines for data collection- Assess the risk and compliance with various laws related to human resources- Providing and improving regulations & welfare needed for employees- Check, giving advice and correction of subordinate's performance---------------------------------------------------------------------------------------Requirement- Bachelor's degree in HRM, General Management or related field- 5-8 years of experience in HRM&GA- Knowledge in Thai Labor Law and ISO 9001 Systems- English proficient--------------------------------------------------------------------------------------For more information and apply please contactPatr EuarukpongKelly Services Thailand(A PERSOLKELLY Company)M(+668) 3 802 3702 "
         EXPORT OFFICER / SENIOR EXPORT OFFICER/เจ้าหน้าที่ส่งออก / เจ้าหน้าที่อาวุโสด้านการส่งออก        ,"[('management', 'general-management'), ('manufacturing', 'manufacturing-management')]",            Entry Level           ,            2 years experience           ,           Salary negotiable                       ,"          Full Time, Permanent         ",[''],"['s:Male or Female, not more than 30 years oldBachelor’s or Master’s degree in Business Administration or related fields and possess G.P.A. of Bachelor’s degree at least 2.75Minimum 2 years of experience in Export or Sales and MarketingExperience in export correspondence with Liner and overseas customer and in arranging documents for exportExperience in FMCG is an advantageStrong communication, negotiation skills and customer orientationGood command of English, computer literacy and business correspondence writing skillsWe offer a competitive salary commensurate with qualifications and experience, and the successful candidate will receive a full range of fringe benefits such as annual bonus, provident fund, medical fee, group accident insurance, and uniform.Interested and qualified candidates should send an updated resume together with a recent photo and copy of transcripts to:Human Resources ManagerSitthinan Co.,Ltd.90/54-57, 19th Fl., Sathorn Thani Bldg.,North Sathorn Rd., Silom, Bangrak, Bangkok 10500Tel:0-2233-3990-9 Ext.1986Website :www.sitthinan.co.th ']","Qualifications:Male or Female, not more than 30 years oldBachelor’s or Master’s degree in Business Administration or related fields and possess G.P.A. of Bachelor’s degree at least 2.75Minimum 2 years of experience in Export or Sales and MarketingExperience in export correspondence with Liner and overseas customer and in arranging documents for exportExperience in FMCG is an advantageStrong communication, negotiation skills and customer orientationGood command of English, computer literacy and business correspondence writing skillsWe offer a competitive salary commensurate with qualifications and experience, and the successful candidate will receive a full range of fringe benefits such as annual bonus, provident fund, medical fee, group accident insurance, and uniform.Interested and qualified candidates should send an updated resume together with a recent photo and copy of transcripts to:Human Resources ManagerSitthinan Co.,Ltd.90/54-57, 19th Fl., Sathorn Thani Bldg.,North Sathorn Rd., Silom, Bangrak, Bangkok 10500Tel:0-2233-3990-9 Ext.1986Website :www.sitthinan.co.th "
         Analyst/นักวิเคราะห์        ,"[('professional-services', 'business-analysis-data-analysis'), ('professional-services', 'business-consultancy'), ('management', 'general-management')]",            Entry Level           ,            1 year experience           ,           Salary negotiable                       ,"          Full Time, Permanent         ","['Job Description:Study and understand the client’s business processes including their effect on data and reporting, and applies the knowledge gained in designing data and reports.Manage analyze projects such projects include initiatives to perform root cause analyses, create recommendations for corrective action and work with business verticals to implement them.Develop and presentation, analyses and reports to support business functions.Manage and reports to the relevant teams, providing support on the usage of these tools.Collaborate with stakeholders in Operations to make data driven decisions.']","[""s :Thai NationalityMBA or Master's Degree in MBA, Management, Finance, Economics or related fieldExperience in consulting business or in business research or research assistance in an academic institution or project feasibility analysis is a plusExcellent analytical and presentation skills, with strong computer literacyPleasant personality, well-organized, and good communication skillsGood attitude, team player and ability to work independently and under time pressureWe also offer the attractive remuneration packages :5-day work weekBonus (Performance/results-based bonus)Life insuranceHealth insuranceDental allowanceProvident fundAnnual Physical check-upAnnual leave 15 days/yearSpecial event (Company trip, Staff party, etc.)Contact AddressPlease send a letter of application, resume and recent photo to the address below :KhunSuchada Ploypetch (Poui)Human Capital Department (HCD) : TRIS Corporation Limited191 Silom Complex Building, 18th Floor,Room 1-4, 4ASilom Rd., Bangrak, Bangkok Tel: 0 2032 3000 ext. 8533 ,086 776 6595Line ID:pouihappy, Linkedin: TRIS Corporation Limited ""]","Job Description:Study and understand the client’s business processes including their effect on data and reporting, and applies the knowledge gained in designing data and reports.Manage analyze projects such projects include initiatives to perform root cause analyses, create recommendations for corrective action and work with business verticals to implement them.Develop and presentation, analyses and reports to support business functions.Manage and reports to the relevant teams, providing support on the usage of these tools.Collaborate with stakeholders in Operations to make data driven decisions.Qualifications :Thai NationalityMBA or Master's Degree in MBA, Management, Finance, Economics or related fieldExperience in consulting business or in business research or research assistance in an academic institution or project feasibility analysis is a plusExcellent analytical and presentation skills, with strong computer literacyPleasant personality, well-organized, and good communication skillsGood attitude, team player and ability to work independently and under time pressureWe also offer the attractive remuneration packages :5-day work weekBonus (Performance/results-based bonus)Life insuranceHealth insuranceDental allowanceProvident fundAnnual Physical check-upAnnual leave 15 days/yearSpecial event (Company trip, Staff party, etc.)Contact AddressPlease send a letter of application, resume and recent photo to the address below :KhunSuchada Ploypetch (Poui)Human Capital Department (HCD) : TRIS Corporation Limited191 Silom Complex Building, 18th Floor,Room 1-4, 4ASilom Rd., Bangrak, Bangkok Tel: 0 2032 3000 ext. 8533 ,086 776 6595Line ID:pouihappy, Linkedin: TRIS Corporation Limited "
         Project Planner        ,"[('engineering', 'electrical-electronics'), ('management', 'general-management')]",,,           Salary provided                       ,          Permanent         ,"['ResponsibilitiesTo establish and update the Detailed Project Schedule(DPS)based on common objectives within the project, including leading the harmonization and integration of sub-schedules from all parties involved in the project To tracks and reports progress, against the agreed schedule and develop scenarios, mitigation or back-up plansTo monitor and report on schedule performance within all functions and parties involved in the projectTo participate and/or lead meetings related to DPS topicsTo analysis critical paths of the schedule to identify risks and opportunities and develop mitigation or recovery plans']","['Engineering degree in any disciplineMinimum 3-5 years of experience in Project Planning and Rail Transport business is advantageProficiency in English, MS Office andPrimavera ProgramStrong in planning, organizing, analytical skills and strategic thinking ']","ResponsibilitiesTo establish and update the Detailed Project Schedule(DPS)based on common objectives within the project, including leading the harmonization and integration of sub-schedules from all parties involved in the project To tracks and reports progress, against the agreed schedule and develop scenarios, mitigation or back-up plansTo monitor and report on schedule performance within all functions and parties involved in the projectTo participate and/or lead meetings related to DPS topicsTo analysis critical paths of the schedule to identify risks and opportunities and develop mitigation or recovery plansQualificationEngineering degree in any disciplineMinimum 3-5 years of experience in Project Planning and Rail Transport business is advantageProficiency in English, MS Office andPrimavera ProgramStrong in planning, organizing, analytical skills and strategic thinking "
"         Deputy Head, Operation Team (Risk Management) [JOB ID 16074]        ","[('management', 'top-executives')]",,,"           THB90,000 - 160,000 /month (negotiable)                     ","          Full Time, Permanent         ","['Job Description:- Direct report to Operation head (currently Managing Director) - Conduct in-depth data analysis and implement solutions to enhance risk management through development of scoring system, decision criteria etc.- communicate with top management and other functions (sales, IT, operation and collection) as well as management of junior staff (3-5 members)- Report to the RHQ in Singapore and collaborate with other local businesses (e.g. India, Indonesia, Vietnam etc.) to enhance risk management standard regionally']","[':- Male/Female - At least 10 years of working experience - At least 5 years of SME/consumer risk management (functional) experience or 10 years of SME/consumer finance (industry) experience- Fluent in English and Thai Preferences: - If able to communicate in Japanese is a plusLocation: Bang Sue, BangkokBusiness/Industry:Banking,Finance,Securities & InsuranceWorking Hours: Monday – Friday, 08:00－17:30alary Range:100000THB～150000THBIf you are interested to apply, kindly send your CV to K. Nuttakarn or for more information, please call her at 02-108-1250. Kindly indicate JOB ID when you send your CV and/or whenever inquiring more information about the job. ']","Job Description:- Direct report to Operation head (currently Managing Director) - Conduct in-depth data analysis and implement solutions to enhance risk management through development of scoring system, decision criteria etc.- communicate with top management and other functions (sales, IT, operation and collection) as well as management of junior staff (3-5 members)- Report to the RHQ in Singapore and collaborate with other local businesses (e.g. India, Indonesia, Vietnam etc.) to enhance risk management standard regionallyQualification:- Male/Female - At least 10 years of working experience - At least 5 years of SME/consumer risk management (functional) experience or 10 years of SME/consumer finance (industry) experience- Fluent in English and Thai Preferences: - If able to communicate in Japanese is a plusLocation: Bang Sue, BangkokBusiness/Industry:Banking,Finance,Securities & InsuranceWorking Hours: Monday – Friday, 08:00－17:30alary Range:100000THB～150000THBIf you are interested to apply, kindly send your CV to K. Nuttakarn or for more information, please call her at 02-108-1250. Kindly indicate JOB ID when you send your CV and/or whenever inquiring more information about the job. "
