job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description
         Financial & Accounting Analyst (Pakfood)        ,"[('accounting', 'audit'), ('banking-finance', 'analysis'), ('banking-finance', 'corporate-finance')]",            Middle level           ,            3 years experience           ,           Salary provided                       ,          Full Time         ,['Location: PakfoodPublic Company Limited (Chongnonsee)Responsibilities:Preparing financial report and analyze to finding the better way for business and reporting to top management.Preparing report and power point and present for management meeting and board meeting.Co-ordinate with all plant in Group to provide yearly budget and analyze between actual and budget plan.Forecast and comparing company’s performance and report to management team.Co-ordinate internal companies group and external partnership business.'],"['s:Bachelor\'s degree or higher in Accounting, Financial or other related fieldsMinimum 3 years of experience in Accounting report,Financial analysis, Audit role.Strong knowledge ofaccounting and taxation.Good Command of English.Proficient in Microsoft Office especiallyExcel & Power Point.Be able to work under pressure and completed the job on timeTeam player and able to work independenceBe able to traveling to work and meeting around Bangkok and nearly area.Interested applicants can apply directly by click""Apply Now""All applications will be treated strictly confidential. We thank all applicants for their interest, however, only those selected for an interview will be contacted.Contact: Khun Chayanee Duangtakum (Tel. 082-691-5134) ']","Location: PakfoodPublic Company Limited (Chongnonsee)Responsibilities:Preparing financial report and analyze to finding the better way for business and reporting to top management.Preparing report and power point and present for management meeting and board meeting.Co-ordinate with all plant in Group to provide yearly budget and analyze between actual and budget plan.Forecast and comparing company’s performance and report to management team.Co-ordinate internal companies group and external partnership business.Qualifications:Bachelor's degree or higher in Accounting, Financial or other related fieldsMinimum 3 years of experience in Accounting report,Financial analysis, Audit role.Strong knowledge ofaccounting and taxation.Good Command of English.Proficient in Microsoft Office especiallyExcel & Power Point.Be able to work under pressure and completed the job on timeTeam player and able to work independenceBe able to traveling to work and meeting around Bangkok and nearly area.Interested applicants can apply directly by click""Apply Now""All applications will be treated strictly confidential. We thank all applicants for their interest, however, only those selected for an interview will be contacted.Contact: Khun Chayanee Duangtakum (Tel. 082-691-5134) "
         Global Investing (AVP/SAVP)         ,"[('banking-finance', 'investment'), ('banking-finance', 'equities-capital-markets'), ('banking-finance', 'others')]",            Top level           ,            2 years experience           ,           Salary negotiable                       ,"          Full Time, Permanent         ",['Responsibilities:To grow up Global Investing Business through all channels.To originate ideas and write global stocks/ETFs reports to promote the business.To assist Investment Consultants in any requests regarding Global Investing items.To support as central dealing team to execute global stocks/ETFs orders.To coordinate with other departments to optimize all related work procedures.To assist Department Head for other related affairs to build up revenue for the company.'],"['s:Bachelor or Master Degree in Economics, Engineer, Finance, Business Administration or related fields. 0-5 years experiences in Research analyst, Business analyst, Private banker, Wealth management, Global Trading or related fields.Eager to learn new things / Interested in Global investments.Be able to work under pressureand as a team. Good Command in English.Interested candidates are invited to write in with full resume, stating present and expected salaries, and enclosing a recent photograph to the address below :Bualuang Securities Public Company Limited29/F Silom Complex Office Building,191 Silom Road, Bangrak, Bangkok 10500Tel. 0 26181214 Fax 0 2231 3797Website:www.bualuang.co.th ']","Responsibilities:To grow up Global Investing Business through all channels.To originate ideas and write global stocks/ETFs reports to promote the business.To assist Investment Consultants in any requests regarding Global Investing items.To support as central dealing team to execute global stocks/ETFs orders.To coordinate with other departments to optimize all related work procedures.To assist Department Head for other related affairs to build up revenue for the company.Qualifications:Bachelor or Master Degree in Economics, Engineer, Finance, Business Administration or related fields. 0-5 years experiences in Research analyst, Business analyst, Private banker, Wealth management, Global Trading or related fields.Eager to learn new things / Interested in Global investments.Be able to work under pressureand as a team. Good Command in English.Interested candidates are invited to write in with full resume, stating present and expected salaries, and enclosing a recent photograph to the address below :Bualuang Securities Public Company Limited29/F Silom Complex Office Building,191 Silom Road, Bangrak, Bangkok 10500Tel. 0 26181214 Fax 0 2231 3797Website:www.bualuang.co.th "
         Automation and Center of Excellence Manager        ,"[('banking-finance', 'others'), ('information-technology', 'it-project-management-team-lead'), ('telecomm', 'others')]",            Middle level           ,            5 years experience           ,           Salary provided                       ,          Full Time         ,"['Position objective:This role will be responsible for business process improvement, delivery of Automation Center of Excellence Solutions across DTAC.Roles and responsibilities:Drive successful operations in deploying, maintaining and enhancing automation solutions / business process improvement.Scans, evaluates, selects, and integrates new technologies and toolsets. Understands, advocates, and supports enterprise information technology strategies.Analyzes the current technology landscape to detect deficiencies and recommends solutions for the improved uses of information technology.Oversee technology guidelines for which RPA solutions should and should not be developed as a micro-service, confederate micro-services, manage a registry, and normalize coding lifecycles for RESTful APIs.Ensures process improvement initiatives transition smoothly through lifecycle of opportunity identification, planning and execution.']","['s:Bachelor\'s Degree in Information Technology or related field (Computer Science, Engineering, etc) with a minimum of 5 years\' relevant experience in Information Technology.Expert in Process Re-Engineering with LEAN or other methodologies. Experience with intelligent automation and either BPM, O365 Power Platform or RPA.Business Acumen and understanding in Telecom Industry as well as AGILE development practice highly desirable. Proven experience with business and technical requirements analyses, elicitation, modeling, verification, and methodology development.Excellent knowledge of database solutions, application services, application integration and architecture patterns.How to Apply: Interested candidates are invited to submit CV (preferably in Ms Word) with your current photo only to""Apply Now""Only short listed candidates will be notified for further processTotal Access Communication Public Company Limited (dtac)319, Recruitment Department, Chamchuri Square Building, 41 Floor, Phayathai Road, Pathumwan, Pathumwan, Bangkok Thailand. 10330 ']","Position objective:This role will be responsible for business process improvement, delivery of Automation Center of Excellence Solutions across DTAC.Roles and responsibilities:Drive successful operations in deploying, maintaining and enhancing automation solutions / business process improvement.Scans, evaluates, selects, and integrates new technologies and toolsets. Understands, advocates, and supports enterprise information technology strategies.Analyzes the current technology landscape to detect deficiencies and recommends solutions for the improved uses of information technology.Oversee technology guidelines for which RPA solutions should and should not be developed as a micro-service, confederate micro-services, manage a registry, and normalize coding lifecycles for RESTful APIs.Ensures process improvement initiatives transition smoothly through lifecycle of opportunity identification, planning and execution.Qualifications:Bachelor's Degree in Information Technology or related field (Computer Science, Engineering, etc) with a minimum of 5 years' relevant experience in Information Technology.Expert in Process Re-Engineering with LEAN or other methodologies. Experience with intelligent automation and either BPM, O365 Power Platform or RPA.Business Acumen and understanding in Telecom Industry as well as AGILE development practice highly desirable. Proven experience with business and technical requirements analyses, elicitation, modeling, verification, and methodology development.Excellent knowledge of database solutions, application services, application integration and architecture patterns.How to Apply: Interested candidates are invited to submit CV (preferably in Ms Word) with your current photo only to""Apply Now""Only short listed candidates will be notified for further processTotal Access Communication Public Company Limited (dtac)319, Recruitment Department, Chamchuri Square Building, 41 Floor, Phayathai Road, Pathumwan, Pathumwan, Bangkok Thailand. 10330 "
         Budget Manager         ,"[('accounting', 'general-accounting'), ('banking-finance', 'analysis'), ('banking-finance', 'asset-management')]",            Senior level           ,            3 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ","['Job Overview/Summary:The Budget Manager assists Finance Controller by managing the financial reporting requirements and deadlines specified by the IRC and donors for the Thailand country program including both the Crisis Response, Recovery, and Development Dept (CRRD) assistance and Resettlement, Asylum & Integration (RAI) programs Asia.Budgeting and Reporting:Preparation, revision and maintenance of country office Operating Budget and ensure the operating budget is managed and monitored effectively and efficiently within timely manner.Prepare and revise all grant budget proposals and make sure that all budget line items are allowable, allocable and reasonable as per Donor requirements.Work closely with program staff in preparing and/or revising grant budgets to support new proposals or realignments and ensure the submission is within the timely manner and the adequate coverage of country operating costs and headquarters costs. Consolidate and update all grant pipeline information from Program and Finance departments on a monthly basis and to propose and prepare budget revisions as necessary and ensure that spending is carried out according to the plan. Review and supervise the preparation of all Budget versus Actual reports on a monthly basis in donor currency to ensure maximum utilization of budgeted amounts and to provide recommendations for realignments as required. Draft donor financial reports and request for funds for review by the Finance Controller and make sure the reports are prepared and sent appropriately and within the timely manner.Preparation of US federal funding Letter of Credit –LOC report to HQ to ensure accurate appropriate balances are included to facilitate grants implementation.Preparation of monthly field expense reports and analyzing the use of unrestricted funding versus approved allocations.Develop Shared Program Cost allocation processes and methodology for overarching costs that comply with donor regulations on allowable costsPrepare timesheet planning worksheet and sending it to all country office supervisors and make sure that the cost allocations are allowable, allocable and reasonable as per Donor requirements.Monitor and supervise the preparation of reporting schedules and request for fund.Review BVA spending plans and prepare BVA upload.Analyze BVA reports and provide relevant inputs to budget holders.Training and Staff Management:Assist in providing training and support for the country office program and operational staff on proposal budgets, revisions and pipeline and spending plan reports.After the field office visit, preparation of written field trip reports for review by Finance Controller which identifies key issues during the field trip visits and provide follow-up recommendations for improving control processes or procedures. Ensure comprehensive performance reviews are completed on a timely basis of Senior Budget Officer Performance.Other Responsibilities:Ensure the completeness of the grants financial documentation of the centralized grant filing system.• Assist Finance Controller with the internal and external audit when required.Perform other duties, as appropriate or requestedResponsible for the finance verification of the payment requests for payments which are less or equivalent or US$5,000/- submitted to finance, to ensure that:The IRC policies and donor regulations are adhered to.Expenses are allowable as per specific donor regulations.The charge codes for payments submitted are correct.The calculations are correct. (this includes test of the mathematical accuracy of invoices, receipts and supporting documents to payments )The relevant supporting documents are attached.SUN System / General Ledger and Budget Ledger Processing:Uploading entries of SUN accounting System changes including chart of accounts, coding, exchange rates, transactions, etc.Review field office accounting transactions before uploading it to SUN and ensure that SUN System uploads proceed on time for the monthly closer.Ensure a backup and retention procedure is in place and followed for all SUN master files ensuring that all saved on the network drive.Review financial data information submitted by field office(s) to identify weakness and problems and to devise correction actionProvide monthly feedbacks for the Finance staff by emailProvide Finance Controller feedback remarks on the financial data submitted by field office by review and analyze the monthly spreadsheets from the main and field offices prior to uploading in the SUN System. Key Working Relationships:Position Reports to: Finance ControllerPosition directly supervises: - IndirectReporting: N/AOther Internal and/or external contacts:Internal: Regional Controller, finance department of other country programs, Program/Grants Managers/Coordinators, Supply Chain Managers/Coordinator, DDO, DDP, field finance officers, and Internal Auditors, etc. External: Bank Managers, Revenue Department, payroll provider, donors and external auditors']","['s: Education:Bachelors degree in Accounting, Business Administration, Commerce or Finance with a recognized professional certificate in accounting (CPA or equivalent certification would be preferred).Experience:Minimum of three (3) years of finance and accounting experience and one (1) year direct supervisory experience.Experienced in budgeting and with various PC and financial related software (spreadsheets, accounting packages).Skills and Abilities:Must be able to function comfortably in a loosely structured but complex work environment, working and prioritizing multiple tasks.Able to communicate effectively (written and verbal) in English with program staff, management and employeesComfortable making decisions.Good supervisory, time management and interpersonal skillsDemonstrated Skills and Competencies:Strong interpersonal and leadership skills, cross group collaboration compliance, proactive and innovative approachStrategic thinker with excellent interpersonal, leadership, problem solving, decision making and follow-up skillsExcellent multi-tasking, organized, and hands on experience with high achievementBeing a self-starter with drive and initiative and able to work as a team with a positive attitude and open mindedConsiderate and deliberate in dealing with people with good negotiation skillsDeadline orientedPositive attitude and excellent service mindVery strong proficiency in MS Word, Excel, and PowerPoint is required.Language Skills:Excellent in English communication of speaking, listening and writingCertificates or Licenses: an assetWorking Environment: Based in Bangkok office, occasionally required to travel to field offices and joined with regional conference and workshop, if required.How to Apply:Application letter and most recent CV in English stating qualifications and experience should be submitted to the IRC Human Resources Department by click“ Apply Now ”All applications will be treated confidentially and not returned. The IRC considers all applicants on the basis of merit without regard to race, national origin, religious beliefs, sexual orientation, age, marital status or physical or mental disability. The IRC is an equal opportunity employer.Application Deadline : 2 Jun 2020 ']","Job Overview/Summary:The Budget Manager assists Finance Controller by managing the financial reporting requirements and deadlines specified by the IRC and donors for the Thailand country program including both the Crisis Response, Recovery, and Development Dept (CRRD) assistance and Resettlement, Asylum & Integration (RAI) programs Asia.Budgeting and Reporting:Preparation, revision and maintenance of country office Operating Budget and ensure the operating budget is managed and monitored effectively and efficiently within timely manner.Prepare and revise all grant budget proposals and make sure that all budget line items are allowable, allocable and reasonable as per Donor requirements.Work closely with program staff in preparing and/or revising grant budgets to support new proposals or realignments and ensure the submission is within the timely manner and the adequate coverage of country operating costs and headquarters costs. Consolidate and update all grant pipeline information from Program and Finance departments on a monthly basis and to propose and prepare budget revisions as necessary and ensure that spending is carried out according to the plan. Review and supervise the preparation of all Budget versus Actual reports on a monthly basis in donor currency to ensure maximum utilization of budgeted amounts and to provide recommendations for realignments as required. Draft donor financial reports and request for funds for review by the Finance Controller and make sure the reports are prepared and sent appropriately and within the timely manner.Preparation of US federal funding Letter of Credit –LOC report to HQ to ensure accurate appropriate balances are included to facilitate grants implementation.Preparation of monthly field expense reports and analyzing the use of unrestricted funding versus approved allocations.Develop Shared Program Cost allocation processes and methodology for overarching costs that comply with donor regulations on allowable costsPrepare timesheet planning worksheet and sending it to all country office supervisors and make sure that the cost allocations are allowable, allocable and reasonable as per Donor requirements.Monitor and supervise the preparation of reporting schedules and request for fund.Review BVA spending plans and prepare BVA upload.Analyze BVA reports and provide relevant inputs to budget holders.Training and Staff Management:Assist in providing training and support for the country office program and operational staff on proposal budgets, revisions and pipeline and spending plan reports.After the field office visit, preparation of written field trip reports for review by Finance Controller which identifies key issues during the field trip visits and provide follow-up recommendations for improving control processes or procedures. Ensure comprehensive performance reviews are completed on a timely basis of Senior Budget Officer Performance.Other Responsibilities:Ensure the completeness of the grants financial documentation of the centralized grant filing system.• Assist Finance Controller with the internal and external audit when required.Perform other duties, as appropriate or requestedResponsible for the finance verification of the payment requests for payments which are less or equivalent or US$5,000/- submitted to finance, to ensure that:The IRC policies and donor regulations are adhered to.Expenses are allowable as per specific donor regulations.The charge codes for payments submitted are correct.The calculations are correct. (this includes test of the mathematical accuracy of invoices, receipts and supporting documents to payments )The relevant supporting documents are attached.SUN System / General Ledger and Budget Ledger Processing:Uploading entries of SUN accounting System changes including chart of accounts, coding, exchange rates, transactions, etc.Review field office accounting transactions before uploading it to SUN and ensure that SUN System uploads proceed on time for the monthly closer.Ensure a backup and retention procedure is in place and followed for all SUN master files ensuring that all saved on the network drive.Review financial data information submitted by field office(s) to identify weakness and problems and to devise correction actionProvide monthly feedbacks for the Finance staff by emailProvide Finance Controller feedback remarks on the financial data submitted by field office by review and analyze the monthly spreadsheets from the main and field offices prior to uploading in the SUN System. Key Working Relationships:Position Reports to: Finance ControllerPosition directly supervises: - IndirectReporting: N/AOther Internal and/or external contacts:Internal: Regional Controller, finance department of other country programs, Program/Grants Managers/Coordinators, Supply Chain Managers/Coordinator, DDO, DDP, field finance officers, and Internal Auditors, etc. External: Bank Managers, Revenue Department, payroll provider, donors and external auditorsQualifications: Education:Bachelors degree in Accounting, Business Administration, Commerce or Finance with a recognized professional certificate in accounting (CPA or equivalent certification would be preferred).Experience:Minimum of three (3) years of finance and accounting experience and one (1) year direct supervisory experience.Experienced in budgeting and with various PC and financial related software (spreadsheets, accounting packages).Skills and Abilities:Must be able to function comfortably in a loosely structured but complex work environment, working and prioritizing multiple tasks.Able to communicate effectively (written and verbal) in English with program staff, management and employeesComfortable making decisions.Good supervisory, time management and interpersonal skillsDemonstrated Skills and Competencies:Strong interpersonal and leadership skills, cross group collaboration compliance, proactive and innovative approachStrategic thinker with excellent interpersonal, leadership, problem solving, decision making and follow-up skillsExcellent multi-tasking, organized, and hands on experience with high achievementBeing a self-starter with drive and initiative and able to work as a team with a positive attitude and open mindedConsiderate and deliberate in dealing with people with good negotiation skillsDeadline orientedPositive attitude and excellent service mindVery strong proficiency in MS Word, Excel, and PowerPoint is required.Language Skills:Excellent in English communication of speaking, listening and writingCertificates or Licenses: an assetWorking Environment: Based in Bangkok office, occasionally required to travel to field offices and joined with regional conference and workshop, if required.How to Apply:Application letter and most recent CV in English stating qualifications and experience should be submitted to the IRC Human Resources Department by click“ Apply Now ”All applications will be treated confidentially and not returned. The IRC considers all applicants on the basis of merit without regard to race, national origin, religious beliefs, sexual orientation, age, marital status or physical or mental disability. The IRC is an equal opportunity employer.Application Deadline : 2 Jun 2020 "
         Finance & Accounting Executive/เจ้าหน้าที่บัญชีอาวุโส        ,"[('accounting', 'general-accounting'), ('accounting', 'taxation'), ('banking-finance', 'others')]",            Middle level           ,            3 years experience           ,"           THB20,000 - 30,000 /month (negotiable)                     ","          Full Time, Permanent         ",[],[],"Work location: Showroom BMW (Performance Motors ) Ramindra 21Salary Range: 20,000 - 30,000 THBJOB CONTENT / Responsibilities:To record all accounting transaction into the system for both AR, AP ,Asset and paymentTo manage petty cash controlTo do the month end closingTo reconcile the account under balance sheet itemsTo submit the report to HQ as required on monthly/quarterly basisTo submit all monthly Tax payment to Revenue departmentTo prepare/update the report on daily/mthly basisTo deal with external parties including external audit, RD and bank providerKeen on in Excel (Vlookup, Pivot, If , Sumif)Any ad-hoc reports to support / provide to superviserรายละเอียดงาน / หน้าที่่รับผิดชอบ:บันทึกข้อมูลทางบัญชี ด้าน AR,AP, Asset และ การชำระเงินควบคุม / ถือเงินสดย่อยปิดงบการเงินประจำเดือนจัดทำงบกระทบยอดบัญชีประจำเดือนจัดทำรายงานประกอบงบการเงินส่งผู้บังคับบัญชาประจำเดือนจัดทำ ภงด.3 / 53 และภพ.30 ประจำเดือนติดต่อประสานงานกับบุคคลภายนอก เช่น ผู้ตรวจสอบบัญชี เจ้าหน้าที่สรรพากร เจ้าหน้าที๋ธนาคารเชี่ยวชาญในการใช้โปรแกรม Excel (Vlookup, Pivot, If , Sumif)งานอื่นๆที่ได้รับมอบหมาย "
         Corporate Cash Management Sales Specialist (Phuket/Songkhla)        ,"[('banking-finance', 'corporate-banking'), ('banking-finance', 'corporate-finance'), ('banking-finance', 'financial-services')]",            Entry Level           ,            3 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ","['Job Description:Evaluate the customers’ needs and determine the right products and servicesCross sell cash management products and services to corporate and SMEs customersExecute strategy and plan for increasing sales productivity by cooperative with RM, IT, operations, branchesPrepare summary reports of close deal to manager and ensure all customers required documents are in place']","[':Bachelor’s Degree or higher in any fieldsAge not over 40 yearsAt least 2 years of sales experience in corporate client management especially cash management, relationship management or other corporate products will be advantage Good interpersonal, high energetic, proactive and organizational skillMale must be exempt from military serviceRequired skills:Good analysis and systematic thinking, knowledge in business forecasting and planningGood presentation and negotiation skillGood in both written and spoken in EnglishTOEIC at least 550/IELTS at least 4.0/TOEFL at least 41Working Location:Operating at Phuket /SongkhlaIf you require more information, please contact Khun Idsada Tel. 02-296-8355 ']","Job Description:Evaluate the customers’ needs and determine the right products and servicesCross sell cash management products and services to corporate and SMEs customersExecute strategy and plan for increasing sales productivity by cooperative with RM, IT, operations, branchesPrepare summary reports of close deal to manager and ensure all customers required documents are in placeQualification:Bachelor’s Degree or higher in any fieldsAge not over 40 yearsAt least 2 years of sales experience in corporate client management especially cash management, relationship management or other corporate products will be advantage Good interpersonal, high energetic, proactive and organizational skillMale must be exempt from military serviceRequired skills:Good analysis and systematic thinking, knowledge in business forecasting and planningGood presentation and negotiation skillGood in both written and spoken in EnglishTOEIC at least 550/IELTS at least 4.0/TOEFL at least 41Working Location:Operating at Phuket /SongkhlaIf you require more information, please contact Khun Idsada Tel. 02-296-8355 "
         Japanese Speaking Corporate Planning (70-100K)         ,"[('banking-finance', 'analysis'), ('banking-finance', 'investment'), ('banking-finance', 'corporate-finance')]",            Senior level           ,            5 years experience           ,"           THB55,000 - 90,000 /month (negotiable)                     ",          Permanent         ,"['Our client is a Japanese start-up company, real estate consulting and development is now, looking for an experience candidate as the detail below.Position:  Japanese Speaking Corporate PlanningSalary:        Around 100,000 THB or moreLocation:      BTS&MRT']","[':Thai Nationality, Male & Female, age not over 40 years oldMaster’s degree or bachelor’s degree in finance, Business Administration or related fieldStrong experience in Consulting, Investment, Financial, Developer, Business Development or relatedAble to analyse data, investment trend, funds or planning strategyExcellent in Japanese (JLPT N2 up) and EnglishExcellent Communicable, solution focused, solving problem skill and analyse skillJob detail:To plan and develop projects.Building and maintaining relationships with clients.Conducting business reviews to ensure clients are satisfied with their products and services.Attending meetings with clients to build relationships with existing accounts.Escalating and resolving areas of concern as raising in a projects.Monitoring company performance against service level agreements and flagging potential issues.Passing leads to the developer and following up on progress.Liaising with internal departments to ensure client needs are fulfilled effectively.Working closely with clients and top management.Interested candidate, please send your resume in English along with your expected salary andrecent phototo us by E-mail.JAC Personnel Recruitment Ltd.Emporium Tower, 10F / 6-7, 622 Soi Sukhumvit 24,Sukhumvit Road, Klongton, Klongtoey, Bangkok 10110Tel: 0-2261-1270Please contact:Khun Panupong ']","Our client is a Japanese start-up company, real estate consulting and development is now, looking for an experience candidate as the detail below.Position:  Japanese Speaking Corporate PlanningSalary:        Around 100,000 THB or moreLocation:      BTS&MRTQualification:Thai Nationality, Male & Female, age not over 40 years oldMaster’s degree or bachelor’s degree in finance, Business Administration or related fieldStrong experience in Consulting, Investment, Financial, Developer, Business Development or relatedAble to analyse data, investment trend, funds or planning strategyExcellent in Japanese (JLPT N2 up) and EnglishExcellent Communicable, solution focused, solving problem skill and analyse skillJob detail:To plan and develop projects.Building and maintaining relationships with clients.Conducting business reviews to ensure clients are satisfied with their products and services.Attending meetings with clients to build relationships with existing accounts.Escalating and resolving areas of concern as raising in a projects.Monitoring company performance against service level agreements and flagging potential issues.Passing leads to the developer and following up on progress.Liaising with internal departments to ensure client needs are fulfilled effectively.Working closely with clients and top management.Interested candidate, please send your resume in English along with your expected salary andrecent phototo us by E-mail.JAC Personnel Recruitment Ltd.Emporium Tower, 10F / 6-7, 622 Soi Sukhumvit 24,Sukhumvit Road, Klongton, Klongtoey, Bangkok 10110Tel: 0-2261-1270Please contact:Khun Panupong "
         Finance and Accounting Manager/ผู้จัดการฝ่ายบัญชีและการเงิน        ,"[('accounting', 'general-accounting'), ('accounting', 'taxation'), ('banking-finance', 'analysis')]",            Senior level           ,            10 years experience           ,           Base salary + high commission                       ,"          Full Time, Permanent         ","['About the Finance and Accounting Manager Role:Reporting to the CFO, you will lead the financial and managerial reports preparation activities. You would also need to be able to the countries in the region from time to time.Job Description:Oversee the finance department in the preparation of monthly management reports, annual statutory financial statements, various tax returns and etc.Maintain proper financial controls which includes among others, reconciliations with proper audit trail.Monthly cash flow forecasting, monitoring and managing the cash position.Supervise the accounting officer team of 4 member.Manage the relationship with banks, local tax authorities, auditors and government agencies.Ensure compliance with regulations.Analyse current financial performance, actual versus budget and prior year data.Assists Operations team in Monthly Operations Review.Identify areas for cost reductions and operational improvements.Ask relevant managers for clarification when their departmental expenses have surpassed the established budget.']","[""s:10-15 years of experience in finance and accounting field.At least 5 years of experience in management.Bachelor or Master's Degree in Accounting.Can do attitude, work hard and have continuous ideas to improve work process.Male/Female aged not over 40 years old.If you are driven, determined and want to take the next step in your career, this is the great career opportunity to join with medical device company. We are awaiting for the right person in this exciting Finance and Accounting Manager job. ""]","About the Finance and Accounting Manager Role:Reporting to the CFO, you will lead the financial and managerial reports preparation activities. You would also need to be able to the countries in the region from time to time.Job Description:Oversee the finance department in the preparation of monthly management reports, annual statutory financial statements, various tax returns and etc.Maintain proper financial controls which includes among others, reconciliations with proper audit trail.Monthly cash flow forecasting, monitoring and managing the cash position.Supervise the accounting officer team of 4 member.Manage the relationship with banks, local tax authorities, auditors and government agencies.Ensure compliance with regulations.Analyse current financial performance, actual versus budget and prior year data.Assists Operations team in Monthly Operations Review.Identify areas for cost reductions and operational improvements.Ask relevant managers for clarification when their departmental expenses have surpassed the established budget.Qualifications:10-15 years of experience in finance and accounting field.At least 5 years of experience in management.Bachelor or Master's Degree in Accounting.Can do attitude, work hard and have continuous ideas to improve work process.Male/Female aged not over 40 years old.If you are driven, determined and want to take the next step in your career, this is the great career opportunity to join with medical device company. We are awaiting for the right person in this exciting Finance and Accounting Manager job. "
         Assistant  Accounting  Manager        ,"[('accounting', 'general-accounting'), ('accounting', 'others'), ('banking-finance', 'others')]",            Middle level           ,            5 years experience           ,           Salary provided                       ,          Permanent         ,[],[],"คุณสมบัติเพศชาย / หญิง อายุระหว่าง28 – 40 ปี จบการศึกษาระดับปริญญาตรี ขึ้นไป สาขาบัญชีมีประสบการณ์การทำงานสายงานบัญชี (AR, AP,GL ) อย่างน้อย 5 ปี สามารถทำงานบันทึกข้อมูลเข้าระบบ ปิดบัญชี พร้อมจัดทำรายละเอียดประกอบงบได้ตามกำหนดหากมีประสบการณ์การใช้ระบบOracle จะพิจารณาเป็นพิเศษ สามารถใช้โปรแกรมMicrosoft Office ได้เป็นอย่างดีสามารถใช้ภาษาอังกฤษในการสื่อสาร ฟัง พูด อ่าน และเขียนได้ลักษณะงานรับผิดชอบการบันทึกบัญชีเข้าระบบOracle , AR , AP , GL จัดทำเอกสารประกอบการบันทึกบัญชี การคำนวณภาษีต่าง ๆรับผิดชอบการปิดบัญชีประจำเดือน จัดทำรายละเอียดประกอบงบการเงินภายในระยะเวลาที่กำหนดรับผิดชอบการนำส่งภาษีประจำเดือนรับผิดชอบการจัดทำงบการเงินประจำปี ( รายไตรมาศ )รับผิดชอบการจัดทำรายงานบัญชีและงานอื่นๆ ที่ได้รับมอบหมาย "
         Senior FP&A Officer (Financial Planning and Analysis)        ,"[('banking-finance', 'analysis')]",,,           Salary provided                       ,          Permanent         ,"['Report to:Financial, Planning and Analysis ManagerLocation : BangkokMain functions: Required to ensure that all financial, planning and analysis aspects of the business are properly managed and controlled. Manage inventory and costing across regions to be optimized with well organized.Responsibilities:Analyzing the business performance, including the revenue, cost of goods sold, expenses till the profitability as bottom line.Prepare monthly rolling forecast and yearly budgeting with analysis reports. Provide detailed analysis and commentary on financial results. Proactively deliver the month end closing result with analysis. Preparing weekly update Sales Dashboard Report. Closely monitor the inventory and manage costing of main warehouses and all branches.Review standard cost calculation and provide detailed analysis. Review move order transaction in ERP system. Supervising Cost & Inventory Analyst team. Lead monthly and yearly inventory physical check. ']","['s:Bachelor’s degree or higher in accounting and related. Minimum 5 years’ experience as Planning and Analysis in Finance. Ability to identify issues and areas for improvement through analysis. Ability to manage both internal and customer relationships. Good command of English and verbal/written communication skills.Excellent numeracy skills.Intermediate to advanced computer software skills, including Excel, PowerPoint and other accounting packages. ']","Report to:Financial, Planning and Analysis ManagerLocation : BangkokMain functions: Required to ensure that all financial, planning and analysis aspects of the business are properly managed and controlled. Manage inventory and costing across regions to be optimized with well organized.Responsibilities:Analyzing the business performance, including the revenue, cost of goods sold, expenses till the profitability as bottom line.Prepare monthly rolling forecast and yearly budgeting with analysis reports. Provide detailed analysis and commentary on financial results. Proactively deliver the month end closing result with analysis. Preparing weekly update Sales Dashboard Report. Closely monitor the inventory and manage costing of main warehouses and all branches.Review standard cost calculation and provide detailed analysis. Review move order transaction in ERP system. Supervising Cost & Inventory Analyst team. Lead monthly and yearly inventory physical check. Qualifications:Bachelor’s degree or higher in accounting and related. Minimum 5 years’ experience as Planning and Analysis in Finance. Ability to identify issues and areas for improvement through analysis. Ability to manage both internal and customer relationships. Good command of English and verbal/written communication skills.Excellent numeracy skills.Intermediate to advanced computer software skills, including Excel, PowerPoint and other accounting packages. "
