job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description
         Warehouse Supervisor Raw Material / Packing Material        ,"[('transportation-logistics', 'inventory-warehousing'), ('transportation-logistics', 'supply-chain')]",            Middle level           ,            5 years experience           ,           Salary provided                       ,          Permanent         ,[],[],"Job Purpose   To manage and control warehouse ensuring smooth process flow from material storage and issuance through production or customersPrinciple AccountabilityEnsure materials deliver to customers are packed properly as requested quantity and in good conditionMonitor, control and improve inventory accuracy together with FIFO systemPrevent, minimize and solve problems/losses and/or abnormal happening in warehouseCo-ordinate with planners to clear Rejected, Obsolete materials from warehouseEnsure that concerned procedures and work instructions are updatedEnsure that concerned procedures and work instructions are being followed and carried out properlyPlan and assign duty & responsibility to each subordinate to ensure that the responsible warehouse section has been operated efficientlyUpdate Assistant Manager-Warehouse all warehouse information and status at all timeKeep workplace clean, tidy, safely and properly operated at all time to be in line with GMPFollowcompany regulations and allimplemented standard systemEducation       Bachelor Degree in Business Administration, Logistics, Supply Chain Management or related fieldExperience / Special SkillsMale Age 35 yearold.UpExperience in Warehouse/Store operation 8 years of which in supervisory level.Able to work independently and under pressureA team player & cooperativeProactive approach to quality control and improvementMeticulous, self-motivated with leadership and teamwork skillGood interpersonal and communication skills.Good written and verbal communication skills in EnglishProficient in MS Office applicationAble to use SAP will be advantageInterested applicants can send your C.V. indicating your current and salaries expected to:Recruitment :: Human Resources DepartmentBrands Suntory (Thailand) Ltd. Leamchabang Indutrial Estate ID Line :@brands-careershttps://careers.brandsworld.co.th/ "
         Assistant Manager Sales & Customer Service        ,"[('transportation-logistics', 'freight-forwarding'), ('transportation-logistics', 'supply-chain'), ('transportation-logistics', 'export-import')]",            Middle level           ,,           Salary negotiable                       ,          Full Time         ,"['Main Responsibility:Provide the administrative assistance to the Sales DirectorResponsible for any assigned project.Participate in sales visit with theSales Team when requiredHandle customer enquiries professionallyResponsible for performing sales strategies to reach potential customers.Negotiate about costs with carriers, co – loader, agent overseas, import, export, transportation department in order to offer and prepare a quotation for making approval by head of department and follow up on a selling process.Extend the business with newprospect customersCoordinate with agent overseas / associated departments about terms, conditions, and costs to operate as agreement with customers.']","[' :Male/Female, Thai Nationality, age 28-35 years oldBachelor’s degree or higher in Business Administration or related fieldMinimum experience of 3-4 years in the role of supervisor/assistant managerProficient command both verbal, listening, written communication in English language and computer literacyAbility to work independently under pressureExcellent organizational and time-management skillsService-minded, good interpersonal and communication skillsHave Logistics experience is a plusTRANSPO INTERNATIONAL LTD.Contact Person :Yuttasuk RatchatapavutHuman Resources Dept20/22-23 Moo 3 T.Khlong-Nueng A.Khlong-luang Pathumthani 12120Moblie : 086-304-6605 Office : 02-105-8651-60 ']","Main Responsibility:Provide the administrative assistance to the Sales DirectorResponsible for any assigned project.Participate in sales visit with theSales Team when requiredHandle customer enquiries professionallyResponsible for performing sales strategies to reach potential customers.Negotiate about costs with carriers, co – loader, agent overseas, import, export, transportation department in order to offer and prepare a quotation for making approval by head of department and follow up on a selling process.Extend the business with newprospect customersCoordinate with agent overseas / associated departments about terms, conditions, and costs to operate as agreement with customers.Qualification :Male/Female, Thai Nationality, age 28-35 years oldBachelor’s degree or higher in Business Administration or related fieldMinimum experience of 3-4 years in the role of supervisor/assistant managerProficient command both verbal, listening, written communication in English language and computer literacyAbility to work independently under pressureExcellent organizational and time-management skillsService-minded, good interpersonal and communication skillsHave Logistics experience is a plusTRANSPO INTERNATIONAL LTD.Contact Person :Yuttasuk RatchatapavutHuman Resources Dept20/22-23 Moo 3 T.Khlong-Nueng A.Khlong-luang Pathumthani 12120Moblie : 086-304-6605 Office : 02-105-8651-60 "
,"[('transportation-logistics', 'inventory-warehousing')]",Entry Level,N/A,Salary negotiable  ,"Full Time, Permanent",[],[], หน้าที่ความรับผิดชอบดูแลการจัดทำเอกสารรับวัสดุ-อุปกรณ์เข้าสโตร์ตามระบบตรวจสอบความถูกต้องของการเบิก-จ่าย-ยืม-รับคืน วัสดุอุปกรณ์ติดต่อประสานงานและติดตามการแจ้งซ่อมวัสดุ-อุปกรณ์ และดูแลให้อยู่ในสภาพดี ไม่ชำรุดหรือเสียหายตรวจสอบความถูกต้องของจำนวนวัสดุ-อุปกรณ์ให้ครบถ้วนตรวจสอบ Spec ในใบสั่งซื้อ และตรวจสอบคุณภาพของวัสดุ-อุปกรณ์ก่อนรับเข้าสโตร์หน่วยงานดูแลการจัดเก็บวัสดุ-อุปกรณ์เข้าสโตร์หน่วยงานตรวจสอบความถูกต้องของการจัดวางวัสดุ-อุปกรณ์ตามชั้นและบริเวณรอบสโตร์จัดเก็บดูแลรักษาสินค้า พร้อมทั้งติดป้ายบ่งชี้สถานะและควบคุมตรวจสอบทรัพย์สินให้ตรงกับ ประเภท รายการ รหัส ที่ควบคุมตามข้อกำหนด  
,"[('admin-hr', 'administration-operation-clerical-support'), ('transportation-logistics', 'inventory-warehousing')]",Entry Level,N/A,Salary negotiable  ,"Full Time, Permanent",[],[], หน้าที่ความรับผิดชอบเช็คเอกสารเข้า-ออกต่างๆ และจัดทำเอกสารเอกสารส่งให้หน่วยงานที่เกี่ยวข้องจัดทำเอกสารรับวัสดุ อุปกรณ์เข้าสโตร์ในระบบOdooจัดทำStock Card ของสโตร์หน่วยงาน เบิก-จ่ายวัสดุตาใบเบิก-จ่าย และตัดสต๊อกในระบบOdoo เพื่อให้ตรงกับสต๊อกจริงเปิดPR สั่งซื้อในระบบOdoo ซื้อวัสดุสรุปรายงานสินค้าคงเหลือประจำวันแยกเอกสารใบกำกับภาษี สำเนาใบเบิก และPO เพื่อนำส่งส่วนบัญชี  
,"[('transportation-logistics', 'others'), ('merchandising-purchasing', 'industrial'), ('others', 'technician')]",Contract,4 years,Salary provided  ,Contract,[' '],"['s :Thai Nationality only.High Vocational degree or higher in any fields.Ability to communicate with people at all levels within the organization.Good command for using computer (Microsoft Excel, Word, Power Point, Adobe Acrobat).Good problem solving skills and ability to assess what actions are required for admin tasksAble to work under pressure, service-mind and hard working.Responsibilities :Coordinating MaterialsMaterial Controllers coordinate and expedite movement of materials between departments according to each department’s production and shipping requirements. They also create and maintain computerized records of these movements.Order Management Computation of the amounts of material or items required to complete specific job orders is a responsibility of Material Controllers. They must have knowledge of product manufacturing and related processes to successfully estimate how much each department or job requires.Inventory Control Knowing how to create, compile and maintain manual or computerized records is an essential job duty of Material Controllers. They need these records to be able to verify inventory numbers and locations and to have available in the instance of an audit. Various software programs can be utilized to help with inventory control.Transporting Materials Material Controllers often have to move or transport materials between departments in response to production needs. Knowledge of equipment such as forklifts or pallet jacks is helpful. In addition, knowing how to move items safely without bodily injury to themselves or others is essential.Examining and Verifying Materials Upon receiving new inventory, Material Controllers are tasked with examining the materials to verify that they conform to production specifications. They must be familiar with these specifications or have the ability to look in the reference manuals for the information. They must document any exceptions and arrange for the return or exchange of any materials that fail to meet specifications.Only short listed candidates will be contacted.Interested candidates, please submit your resume and recent photograph via Apply NowSamsung Engineering (Thailand) Co., Ltd.No. 1 Empire Tower Building, 37th floor, South Sathorn Road,Yannawa, Sathorn, Bangkok, 10120  ']"," Qualifications :Thai Nationality only.High Vocational degree or higher in any fields.Ability to communicate with people at all levels within the organization.Good command for using computer (Microsoft Excel, Word, Power Point, Adobe Acrobat).Good problem solving skills and ability to assess what actions are required for admin tasksAble to work under pressure, service-mind and hard working.Responsibilities :Coordinating MaterialsMaterial Controllers coordinate and expedite movement of materials between departments according to each department’s production and shipping requirements. They also create and maintain computerized records of these movements.Order Management Computation of the amounts of material or items required to complete specific job orders is a responsibility of Material Controllers. They must have knowledge of product manufacturing and related processes to successfully estimate how much each department or job requires.Inventory Control Knowing how to create, compile and maintain manual or computerized records is an essential job duty of Material Controllers. They need these records to be able to verify inventory numbers and locations and to have available in the instance of an audit. Various software programs can be utilized to help with inventory control.Transporting Materials Material Controllers often have to move or transport materials between departments in response to production needs. Knowledge of equipment such as forklifts or pallet jacks is helpful. In addition, knowing how to move items safely without bodily injury to themselves or others is essential.Examining and Verifying Materials Upon receiving new inventory, Material Controllers are tasked with examining the materials to verify that they conform to production specifications. They must be familiar with these specifications or have the ability to look in the reference manuals for the information. They must document any exceptions and arrange for the return or exchange of any materials that fail to meet specifications.Only short listed candidates will be contacted.Interested candidates, please submit your resume and recent photograph via Apply NowSamsung Engineering (Thailand) Co., Ltd.No. 1 Empire Tower Building, 37th floor, South Sathorn Road,Yannawa, Sathorn, Bangkok, 10120  "
,"[('transportation-logistics', 'supply-chain'), ('merchandising-purchasing', 'procurement-purchasing-sourcing')]",Entry Level,2 years,"THB13,000 - 16,000 /month (negotiable) ","Full Time, Permanent","[' Job descriptionsManagement of purchasing documents Including product control Brand certificate and document submissionLiaise between agencies and suppliers from abroadPlanning products to be negotiated, contact SupplierPreparation of purchasing reports for decision-makingContact, communicate, respond to E-Mail, use of EnglishCoordinate with the procurement department that is assigned.']","[""sMale / FemaleBachelor's DegreeAge 25-30 yearsGood command of EnglishResponsibility Good communication and coordinationIf having 2 years experience, special considerationHifi Orient Thai Public Company Limited83/161-162 Soi Ngamwongwan 47 ( Chinaket 2 ),Thungsonghong, Laksi, Bangkok 10210  ""]"," Job descriptionsManagement of purchasing documents Including product control Brand certificate and document submissionLiaise between agencies and suppliers from abroadPlanning products to be negotiated, contact SupplierPreparation of purchasing reports for decision-makingContact, communicate, respond to E-Mail, use of EnglishCoordinate with the procurement department that is assigned.QualificationsMale / FemaleBachelor's DegreeAge 25-30 yearsGood command of EnglishResponsibility Good communication and coordinationIf having 2 years experience, special considerationHifi Orient Thai Public Company Limited83/161-162 Soi Ngamwongwan 47 ( Chinaket 2 ),Thungsonghong, Laksi, Bangkok 10210  "
,"[('transportation-logistics', 'inventory-warehousing'), ('merchandising-purchasing', 'procurement-purchasing-sourcing')]",Entry Level,2 years,Salary provided  ,"Full Time, Permanent",[],[]," หน้าที่ความรับผิดชอบ :ดูแลเบิกจ่าย และรับเข้าสินค้า ให้ถูกต้อง(ทั้งในระบบและจำนวนจริง)  ดูแลสินค้าให้เพียงพอกับการสั่งซื้อของลูกค้า(สินค้าห้ามขาดสต็อค)  รายงานสินค้าคงเหลือรายเดือน  จัดซื้อสินค้าตามที่แผนกต่าง ๆ ต้องการ  จัดซื้อสินค้าที่มีคุณภาพและเหมาะสมกับราคา  คุณสมบัติ:เพศชาย (ผ่านการเกณฑ์ทหารแล้ว)  อายุ 25 - 35 ปี  การศึกษา ปวส - ปริญญาตรี  ประสบการณ์ทำงาน 2 - 5 ปี  มีความยืดหยุ่นในการทำงาน  สวัสดิการ :จ่ายประกันสังคมให้ทั้งในส่วนนายจ้างและในส่วนของพนักงาน  ประกันอุบัติเหตุหมู่  กองทุนสำรองเลี้ยงชีพ  จ่ายภาษีเงินได้บุคคลธรรมดา  ท่องเที่ยวประจำปี  ตรวสุขภาพประจำปี EUROTECNICHE (THAILAND) CO., LTD.64/16 SOI SUKHAPIBAN 2 SOI 31,DOKMAI,PRAVET,BANGKOK 10250  "
         Transport Division Manager (Retail-FMCG)        ,"[('transportation-logistics', 'others'), ('transportation-logistics', 'shipping'), ('transportation-logistics', 'supply-chain')]",            Senior level           ,            5 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ","['Duties and responsibilities:Manage route planning, dispatch, and delivery of goods to all storesResponsible for on-time delivery and high transport cost efficiencyStandard Operational Procedures (SOP) & Work Instruction (WI)Manage reverse logistics and tote returnsCollaborate with 3PL providers to improve delivery performance and minimize OSND (over, short and damage)Perform other tasks as assigned by manager']","["":5 years of working experience; preferably in transportation managementBachelor's degree in Logistics Management, Business Administration, or related fieldExperience in transport and warehouse will be an advantageExcellent analytical and numerical skillsComputer literacy, e.g., MS Excel (advance skill), and PowerPointGood communication and coordination skillsHands-on mindset, analytical skills and problem solvingMust be able to travelMust align with TD culture ""]","Duties and responsibilities:Manage route planning, dispatch, and delivery of goods to all storesResponsible for on-time delivery and high transport cost efficiencyStandard Operational Procedures (SOP) & Work Instruction (WI)Manage reverse logistics and tote returnsCollaborate with 3PL providers to improve delivery performance and minimize OSND (over, short and damage)Perform other tasks as assigned by managerQualification:5 years of working experience; preferably in transportation managementBachelor's degree in Logistics Management, Business Administration, or related fieldExperience in transport and warehouse will be an advantageExcellent analytical and numerical skillsComputer literacy, e.g., MS Excel (advance skill), and PowerPointGood communication and coordination skillsHands-on mindset, analytical skills and problem solvingMust be able to travelMust align with TD culture "
         Sales Executive (Japanese Speaking) (30K-40K) (SDG-53143) /พนักงานขาย (พูดภาษาญี่ปุ่น)         ,"[('sales-cs-business-devpt', 'business-development'), ('transportation-logistics', 'freight-forwarding'), ('sales-cs-business-devpt', 'account-servicing')]",            Entry Level           ,            3 years experience           ,           Salary provided                       ,"          Full Time, Permanent         ",[],[],"<Job Responsibilities>Developing new and prospective clients by cold callMaintaining relationship with the existing clientsTake care Japanese client with Japanese CEOContact with Suppliers in Japanese and EnglishPlanning and develop a sales strategy to achieve organizational sales goals and revenuePrepare estimates for clientBooking sea / air shipmentOther duties as assigned<Necessary Skill / Experience >Thai nationality,Female,25-32yearsoldBachelor's degree in any related companyConversational High level of Japanese(N2 up preferable) and be able to write E-mail in JapaneseWorking experience in logistic company(Freight forwarding or sea transportation/ NOT Warehouse) at least 3 years as a sales or customer serviceConversational level of EnglishHave own car and driver's licensePersonality: Punctually, honesty, respect others<Preferable Skill / Experience>NoneLanguages skillsEnglish:ConversationalLevelJapanese:ConversationalLevelWorkplace Area:BTSSurasak,BangkokWorking Hour:8:30-17:30(Mon-Fri<9:00-12:00 on Sat/ 1 day per month>)About theBenefitsSalary:30,000–40,000THBAbout the companyProducts:Forwarding, Trading, Custom Clearance, Transportation, Warehouse, Machine InstallationBusiness Type:Distribution / Transportation / Warehousing;HOW TO APPLY*** Please submit yourresumewithrecent photo, yourcurrent & expected salary, andreference:Sales Executive (JapaneseSpeaking) (30K-40K) (SDG-53143)*** Any query regarding this Job or application method, please call Tel. 02-021-0333RGF HR Agent Recruitment (Thailand) Co., Ltd.（株式会社リクルートホールディングスタイ法人）689 BHIRAJ TOWER at EmQuartier, 23rd Floor, Room No. 2304-2306Sukhumvit Road, North Klongton Sub-District, Vadhana District, Bangkok 1011Tel: 02-021-0333Website : www.rgf-hragent.asia/en/thailand "
         Supply Chain Solution Division Manager         ,"[('transportation-logistics', 'supply-chain')]",            Senior level           ,            2 years experience           ,"           THB35,000 - 55,000 /month                     ",          Permanent         ,"['Job Summary:- Well understand about transportation conditions, truck maintenance, Diesel consumption and Cost Structure of trucking.- Well understand about Supply Chain, Logistics and natures of Logistics Business.- Supervise the logistics and transportation movements and analysis of the operating performances.- Sourcing the new effective suppliers and evaluate the current suppliers.- Able to develop logistics solutions with cost structure.- Interaction with clients in term of data validation and monthly reporting reviews.- Managing and Controlling warehouse items and Costs.- Establishing and adjusting warehouse functions to meet the client’s demands and expectations.- Measuring and reporting the performance of the warehouse to Company’s management team.']","['s:- Thai Nationality Male/Female age 30-40 years old.- Bachelor or Master degree in any related field.- Experience2 years in Warehouse, Supply Chain, Shipping line, lnternational freight forwarder or logistics provider, preferably in integrated sales function or logistics solution sales - Good command of both spoken and written ( able to deal with international supplier / Clients ) English- Able to work under pressure, with tight deadlines.- Strong leadership, decision making skills, and negotiation skills.- Ability to multi-task in a fact-paced environment.- Excellent presentation, communication and service-mind""Only short listed candidate will be notified by phone.""Attractive salary, bonus, target-achievement incentive/bonus and other fringe benefits packages will be offered to the right candidate. Please send your application with full resume indicating your expected salary to :Apply NowHuman Resource DepartmentLEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED251-251/1 Soi Pakdee, Rama III Road, Bangkorlaem, Bangkok 10120Tel : 02 079 9888 Ext. 1815Please visit website at :http://www.leogloballogistics.com(Only application with all requested information will be considered) ']","Job Summary:- Well understand about transportation conditions, truck maintenance, Diesel consumption and Cost Structure of trucking.- Well understand about Supply Chain, Logistics and natures of Logistics Business.- Supervise the logistics and transportation movements and analysis of the operating performances.- Sourcing the new effective suppliers and evaluate the current suppliers.- Able to develop logistics solutions with cost structure.- Interaction with clients in term of data validation and monthly reporting reviews.- Managing and Controlling warehouse items and Costs.- Establishing and adjusting warehouse functions to meet the client’s demands and expectations.- Measuring and reporting the performance of the warehouse to Company’s management team.Qualifications:- Thai Nationality Male/Female age 30-40 years old.- Bachelor or Master degree in any related field.- Experience2 years in Warehouse, Supply Chain, Shipping line, lnternational freight forwarder or logistics provider, preferably in integrated sales function or logistics solution sales - Good command of both spoken and written ( able to deal with international supplier / Clients ) English- Able to work under pressure, with tight deadlines.- Strong leadership, decision making skills, and negotiation skills.- Ability to multi-task in a fact-paced environment.- Excellent presentation, communication and service-mind""Only short listed candidate will be notified by phone.""Attractive salary, bonus, target-achievement incentive/bonus and other fringe benefits packages will be offered to the right candidate. Please send your application with full resume indicating your expected salary to :Apply NowHuman Resource DepartmentLEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED251-251/1 Soi Pakdee, Rama III Road, Bangkorlaem, Bangkok 10120Tel : 02 079 9888 Ext. 1815Please visit website at :http://www.leogloballogistics.com(Only application with all requested information will be considered) "
