job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description
         Assistant Vice President        ,"[('accounting', 'general-accounting')]",,,           Salary provided                       ,          Full Time         ,"['Client DetailOur client is a Property Development company which was recognized as a leading Developer innovative High-End residence projects and with international standard that maximizes customer’s satisfaction. At the present, the company waslisted in Stock Exchange of Thailand (MJD- Property Sector) with fully paid registered capital worth of Baht 700 million.The company hascontinuously invested in R&D for construction standard.As an Assistant Vice President, you will be responsible mainly in the financial and accounting activities of the company as well as monitor and control the new project disbursement and progress against budget. The successful candidate will play an important role as an Assistant Vice President in the Property Development Company.ResponsibilitiesManaging and preparing financial and accounting business performance of the companyPlanning financial and investment report in order to support the corporate and new investmentResponsible and lead contribute end-to-end timely and accurate financial reporting process from record compilation, month end close reconciliation, result analytics, internal and external reportingMonitor and control budget, cash flow and prepare cash flow statements Corporate and participate with business planning by structuring for new businessLoan and credit facilities arrangement, including term loan, trade finance, project finance and factoring.Liaison with bankers to refinance and restructure debt also raise ']","['sBachelor’s degree or higher in Finance and related filed Minimum experiences 8 years in Real Estate Industry as well as experiences in Public Company Limited or company in SETEager to build on existing skills and develop management and leadership skills for a successful careerProactive attitude with proven ability to implement solutions to problems Strong skills in competent in IT systems, particularly MS Excel (Excel VBA is a plus)Creative, highly-driven and self-motivated Audit background or CPA is a plus. Strong TFRS knowledge and Tax regulation. Strong interpersonal communication skills Strong command in English High attention to detail and accuracy. What to ExpectOur client offers the benefits of a work environment that is stimulating, challenging and balance interest & apply ']","Client DetailOur client is a Property Development company which was recognized as a leading Developer innovative High-End residence projects and with international standard that maximizes customer’s satisfaction. At the present, the company waslisted in Stock Exchange of Thailand (MJD- Property Sector) with fully paid registered capital worth of Baht 700 million.The company hascontinuously invested in R&D for construction standard.As an Assistant Vice President, you will be responsible mainly in the financial and accounting activities of the company as well as monitor and control the new project disbursement and progress against budget. The successful candidate will play an important role as an Assistant Vice President in the Property Development Company.ResponsibilitiesManaging and preparing financial and accounting business performance of the companyPlanning financial and investment report in order to support the corporate and new investmentResponsible and lead contribute end-to-end timely and accurate financial reporting process from record compilation, month end close reconciliation, result analytics, internal and external reportingMonitor and control budget, cash flow and prepare cash flow statements Corporate and participate with business planning by structuring for new businessLoan and credit facilities arrangement, including term loan, trade finance, project finance and factoring.Liaison with bankers to refinance and restructure debt also raise QualificationsBachelor’s degree or higher in Finance and related filed Minimum experiences 8 years in Real Estate Industry as well as experiences in Public Company Limited or company in SETEager to build on existing skills and develop management and leadership skills for a successful careerProactive attitude with proven ability to implement solutions to problems Strong skills in competent in IT systems, particularly MS Excel (Excel VBA is a plus)Creative, highly-driven and self-motivated Audit background or CPA is a plus. Strong TFRS knowledge and Tax regulation. Strong interpersonal communication skills Strong command in English High attention to detail and accuracy. What to ExpectOur client offers the benefits of a work environment that is stimulating, challenging and balance interest & apply "
         เจ้าหน้าที่บัญชี/เจ้าหน้าที่บัญชี        ,"[('accounting', 'general-accounting'), ('accounting', 'others')]",            Entry Level           ,            2 years experience           ,           Salary negotiable                       ,          Full Time         ,[],[],"รายละเอียดงานดูแลบัญชีเจ้าหนี้-ลูกหนี้ ลงบัญชีประจำวันรับ-จ่าย ออกหนังสือหัก ณ ที่จ่าย ออกใบสำคัญจ่ายเงิน ตรวจเอกสารตั้งเบิก ประสานงานภายในและภายนอกบบริษัท งานบัญชีอื่นๆ คุณสมบัติผู้สมัครจบปริญญาตรี สาขาการบัญชี การเงิน มีประสบการณ์ทางด้านบัญชีอย่างน้อย 2-3 ปีขึ้นไปมีความละเอียดรอบคอบ สามารถทำงานภายใต้ภาวะความกดดันได้ ใช้โปรแกรม MS office , express ได้ดี สื่อสารภาษาอังกฤษหรือภาษาจีนได้จะพิจารณาเป็นพิเศษ (มีค่าภาษา) "
         Finance/Accounting Manager        ,"[('accounting', 'general-accounting'), ('professional-services', 'business-analysis-data-analysis'), ('banking-finance', 'risk-management')]",            Senior level           ,            7 years experience           ,           Salary negotiable                       ,"          Full Time, Permanent         ",[],[],"ResponsibilitiesAccuracy and timeliness of the financial statements of the Group companiesEfficiency of the accounting and finance functionAnticipation and resolution of the financial challenges of the GroupJob DutiesParticipate in the annual and multi-year budgets determination that are adequate for the organization’s needs including preparation of periodic budget forecastsPrepare and maintain cash flow analyses as neededPrepare and analyze monthly financial statements (balance sheet, income statement, and statement of cash flows)Prepare year-end books for audit and manage the relation with the external auditorsEnsure operational compliance with policies, procedures and regulations for any necessary entitiesProcess vendor payments and check requestsProcess employee reimbursements including managing employee credit card charges and reconcile credit card accountsReconcile bank accounts and general ledger accounts as assignedRespond to inquiries from staff and management regarding budgets, deposits, disbursement.Identify and propose process improvement project to improve efficiency and security of the financial operation of the companiesRequirementsBachelor Degree with Accounting / FinancePreferred non-life insurance experienceExperience in accounting function at least 5 years or minimum 3 years’ experience with audit firmGood command in EnglishProficiency in computer skills, MS office, mainly Excel, SUN system is preferableStrong personal skills in communication, pro-active, flexibility, positive attitude, and able to work under pressureAbility to work independentlyStrong analytical skillOrganized and good management skills "
         Accounting Supervisor/หัวหน้าแผนกบัญชี        ,"[('accounting', 'general-accounting'), ('accounting', 'taxation'), ('accounting', 'others')]",            Entry Level           ,            3 years experience           ,           Salary negotiable                       ,"          Full Time, Permanent         ",['Job Responsibilities:จัดทำรายละเอียดประกอบงบการเงิน จัดทำรายงานประจำเดือนสำหรับผู้บริหาร จัดทำเอกสารประกอบการคำนวณภาษี และยื่นแบบภาษีให้ถูกต้อง ตามระยะเวลาที่กำหนดไว้ประสานงาน ให้ข้อมูลแก่ผู้สอบบัญชี ตรวจสอบเอกสารต่างๆ ให้ถูกต้อง ครบถ้วน ตรงตามระยะเวลาที่กำหนด เช่น การตั้งหนี้ ใบสำคัญจ่าย รายการปรับปรุงประจำเดือนปฏิบัติงานอื่นๆ ตามที่ได้รับมอบหมาย ได้อย่างมีประสิทธิภาพ '],"[""s/Skills:มีความรู้ทางด้านบัญชีเป็นอย่างดี มีทักษะการบริหารเวลา การวางแผนงานอย่างเป็นระบบ Service mind. มีบุคลิกภาพ และทัศนคติที่ดีในการทำงาน Education, Experience, and Licensing Requirements:จบการศึกษาระดับปริญญาตรีขึ้นไป มีประสบการณ์ทางด้านบัญชี 5 ปีขึ้นไป หากมีประสบการณ์ในธุรกิจอสังหาริมทรัพย์ จะพิจารณาเป็นพิเศษWelfare and Benefits:Medical allowance Life insurance Bonus & commission Vacation Diligence allowance Marriage gift Funeral support Uniform Working Hours:5 days per week. (Mon - Fri) 09.00hrs. - 18.00hrs.      This is a great opportunity for a confident candidate to make a real impact with a growing organization at an exciting time in the company's development. A competitive, negotiable salary and benefits package is on offer to the right candidate. Apply now!SIAMNUWAT COMPANY LIMITED8th floor, Siam Piwat Tower,989 Rama I Rd., Pathumwan,Bangkok, Thailand 10330.Tel. 02 658 0678, 086 341 4340www.siamnuwat.comFacebook : siamnuwat careersLinkedin : siamnuwatLine ID : hrsiamnuwat ""]","Job Responsibilities:จัดทำรายละเอียดประกอบงบการเงิน จัดทำรายงานประจำเดือนสำหรับผู้บริหาร จัดทำเอกสารประกอบการคำนวณภาษี และยื่นแบบภาษีให้ถูกต้อง ตามระยะเวลาที่กำหนดไว้ประสานงาน ให้ข้อมูลแก่ผู้สอบบัญชี ตรวจสอบเอกสารต่างๆ ให้ถูกต้อง ครบถ้วน ตรงตามระยะเวลาที่กำหนด เช่น การตั้งหนี้ ใบสำคัญจ่าย รายการปรับปรุงประจำเดือนปฏิบัติงานอื่นๆ ตามที่ได้รับมอบหมาย ได้อย่างมีประสิทธิภาพ Qualifications/Skills:มีความรู้ทางด้านบัญชีเป็นอย่างดี มีทักษะการบริหารเวลา การวางแผนงานอย่างเป็นระบบ Service mind. มีบุคลิกภาพ และทัศนคติที่ดีในการทำงาน Education, Experience, and Licensing Requirements:จบการศึกษาระดับปริญญาตรีขึ้นไป มีประสบการณ์ทางด้านบัญชี 5 ปีขึ้นไป หากมีประสบการณ์ในธุรกิจอสังหาริมทรัพย์ จะพิจารณาเป็นพิเศษWelfare and Benefits:Medical allowance Life insurance Bonus & commission Vacation Diligence allowance Marriage gift Funeral support Uniform Working Hours:5 days per week. (Mon - Fri) 09.00hrs. - 18.00hrs.      This is a great opportunity for a confident candidate to make a real impact with a growing organization at an exciting time in the company's development. A competitive, negotiable salary and benefits package is on offer to the right candidate. Apply now!SIAMNUWAT COMPANY LIMITED8th floor, Siam Piwat Tower,989 Rama I Rd., Pathumwan,Bangkok, Thailand 10330.Tel. 02 658 0678, 086 341 4340www.siamnuwat.comFacebook : siamnuwat careersLinkedin : siamnuwatLine ID : hrsiamnuwat "
         Client Onboarding in Operations Department        ,"[('accounting', 'general-accounting'), ('banking-finance', 'equities-capital-markets'), ('banking-finance', 'others')]",            Entry Level           ,            1 year experience           ,           Salary negotiable                       ,"          Full Time, Permanent         ","['Job Descriptions:Handling all account Opening , setting up credit line , all type of trading accounts as well as close trading account for in house product i.e. equity , SBL, TFEX, Debt, OTC trading etc. Handling maintenance client profile both document part and system part.Handling all account Opening for selling agent product i.e. Mutual fund (AMC - Asset Management Companies), Deposit bank Account or other product.Co-ordinate with all parties who involve businesswith AMC or associated companyCheck and control client’s information in the database that they are up-to-date and accuracy.Other assignments work as the case may be.']","['s:Thai national with Bachelor or Master’s degree in Economics, Accounting, Finance or any business field.1-2 years or more of experience in securities industry, background in custodian bank,Good command of written and spoken English.Strong analytical skills,rational thinking with excellent interpersonal skills.Must be able to perform well under pressure.Pleasant personality with service minded, energetic, enthusiastic and a good team player.Knowledge of PC and Microsoft application (Word, Excel, Outlook and PowerPoint).Phatra offers career development, and is committed to developing each employee to fulfill his/her potential. Successful candidates can look forward to competitive remuneration package, fringe benefits and exciting career prospects. Interested applicants: Please send your detailed resume and salary history to:The Human Resources Department, Phatra Securities Public Company Limited8th Floor Human Resources Department, Muang Thai-Phatra Office Tower 1,252/6 Ratchadaphisek Rd.,Huay-Kwang, Bangkok 10310Contact Ms. Arisa Udomsiri at 0-2305-9243 Fax. 0-2693-2632(Applications will be treated with strictly confidential) ']","Job Descriptions:Handling all account Opening , setting up credit line , all type of trading accounts as well as close trading account for in house product i.e. equity , SBL, TFEX, Debt, OTC trading etc. Handling maintenance client profile both document part and system part.Handling all account Opening for selling agent product i.e. Mutual fund (AMC - Asset Management Companies), Deposit bank Account or other product.Co-ordinate with all parties who involve businesswith AMC or associated companyCheck and control client’s information in the database that they are up-to-date and accuracy.Other assignments work as the case may be.Qualifications:Thai national with Bachelor or Master’s degree in Economics, Accounting, Finance or any business field.1-2 years or more of experience in securities industry, background in custodian bank,Good command of written and spoken English.Strong analytical skills,rational thinking with excellent interpersonal skills.Must be able to perform well under pressure.Pleasant personality with service minded, energetic, enthusiastic and a good team player.Knowledge of PC and Microsoft application (Word, Excel, Outlook and PowerPoint).Phatra offers career development, and is committed to developing each employee to fulfill his/her potential. Successful candidates can look forward to competitive remuneration package, fringe benefits and exciting career prospects. Interested applicants: Please send your detailed resume and salary history to:The Human Resources Department, Phatra Securities Public Company Limited8th Floor Human Resources Department, Muang Thai-Phatra Office Tower 1,252/6 Ratchadaphisek Rd.,Huay-Kwang, Bangkok 10310Contact Ms. Arisa Udomsiri at 0-2305-9243 Fax. 0-2693-2632(Applications will be treated with strictly confidential) "
"         General Manager - Accounting and Finance (CPA, Manufacturing background, TOEIC 700+) 100K        ","[('accounting', 'others')]",,,"           THB90,000 - 120,000 /month (negotiable)                     ",          Full Time         ,"['RESPONSIBILITIES & DUTIES- To provide leadership role in all aspects of the company’s accounting and financial operations.- Provide accurate and timely financial information and reports to facilitate the decision making process and ensure success of the corporation.- Oversee operation of Finance / Account Department operation.- Ensure adequate controls are in place, i.e. policies, procedures.- Provide information and analysis for Strategic Management Team- Responsible for the annual budget process, provide monthly reviews, and implementing Business plans and other programs.- Provide analysis of cash flow, operating costs and variances.- Responds to inquiries from the CFO, Controller, and other finance and firm wide managers regarding financial results, special reporting requests and the like.- Work with the Controller to ensure a clean and timely year-end audit.- To handle IHQ business for accounting & finance fields.']","['- Bachelor’s Degree or Master Degree in Business with an emphasis in Accounting, Financial.-10 to25 years prior supervisory experience in the accounting / Financial area in manufacturing environment, manage financials manufacturing accounting system, standard cost accounting, budgeting and treasury functions.- English skill must have been reached a business level for speaking, listening, reading and writing. (Applicable level is equivalent TOEIC score over 700. ex. To have foreign MBA would be most preferable, but not required)Technical Skills- Strong leadership and supervisory skill- Strong English verbal and written communication skills.- Strong interpersonal, supervisory and customer service skills required.- Ability to multi-task, work under pressure and meet deadlines required.- In depth knowledge of financial, and integrated accounting systems- Proficient in MS Office, with advanced excel skills, able to use SAP would be advantage- Excellent problem solving and analytical skills- Able to work in Patumthani and/or Ayutthaya Plant- Able to work in on Saturday (twice a month)Please send your CV to ploynapas @ talentvis.com ']","RESPONSIBILITIES & DUTIES- To provide leadership role in all aspects of the company’s accounting and financial operations.- Provide accurate and timely financial information and reports to facilitate the decision making process and ensure success of the corporation.- Oversee operation of Finance / Account Department operation.- Ensure adequate controls are in place, i.e. policies, procedures.- Provide information and analysis for Strategic Management Team- Responsible for the annual budget process, provide monthly reviews, and implementing Business plans and other programs.- Provide analysis of cash flow, operating costs and variances.- Responds to inquiries from the CFO, Controller, and other finance and firm wide managers regarding financial results, special reporting requests and the like.- Work with the Controller to ensure a clean and timely year-end audit.- To handle IHQ business for accounting & finance fields.Qualification- Bachelor’s Degree or Master Degree in Business with an emphasis in Accounting, Financial.-10 to25 years prior supervisory experience in the accounting / Financial area in manufacturing environment, manage financials manufacturing accounting system, standard cost accounting, budgeting and treasury functions.- English skill must have been reached a business level for speaking, listening, reading and writing. (Applicable level is equivalent TOEIC score over 700. ex. To have foreign MBA would be most preferable, but not required)Technical Skills- Strong leadership and supervisory skill- Strong English verbal and written communication skills.- Strong interpersonal, supervisory and customer service skills required.- Ability to multi-task, work under pressure and meet deadlines required.- In depth knowledge of financial, and integrated accounting systems- Proficient in MS Office, with advanced excel skills, able to use SAP would be advantage- Excellent problem solving and analytical skills- Able to work in Patumthani and/or Ayutthaya Plant- Able to work in on Saturday (twice a month)Please send your CV to ploynapas @ talentvis.com "
         Consultant/Senior Consultant - Risk Transformation        ,"[('accounting', 'general-accounting'), ('accounting', 'audit'), ('accounting', 'others')]",            Entry Level           ,,           Salary negotiable                       ,"          Full Time, Permanent         ","['As a member of the Advisory – Risk Transformation team, you will help enhancing performance through creating risk-enabled organizations. We help clients identify important risks, design frameworks to manage them and improve the effectiveness and efficiency of risk management.Risk transformation professional will be addressing client issues such as business performance variability, business and process controls transformation; application security integrity, governance, risk and control (GRC) technology enablement, business and/or IT GRC, continuous monitoring, vendor and contract risk management and IT risk management.You will belong to an international network of specialists helping our clients transform risk functions and implement technology solutions that support risk management and governance.ResponsibilitiesExecute internal audit engagements and other advisory engagementsTake in-charge role in the engagement and coordinate with clients in various industriesAssist Engagement Manager with administrative tasks and project management; prepare proposal and others as assigned by manager and Partners']","[""sMaster's or Bachelor's degree inAccounting, AIS, Business, Economics, or other related fieldsMinimum of 2 years’ experience for Senior Consultant Level in a similar role, and0-1 year of experience for Consultant level Good written and oral communications skills both in Thai and EnglishPossess logical and analytical thinkingStrong problem solving, analytical and interpersonal skills.Able to either work independently within given guidance or as part of a team.Adaptable and be able to work upcountry (occasionally).Computer literacy in MS officeContact usBANGKOK EY33rd Floor, Lake Rajada Office Complex193/136-137 Rajadapisek RoadKlongtoey, Bangkok 10110 ThailandPhone: +66 2264 0777Fax: +66 2264 0789 90 ""]","As a member of the Advisory – Risk Transformation team, you will help enhancing performance through creating risk-enabled organizations. We help clients identify important risks, design frameworks to manage them and improve the effectiveness and efficiency of risk management.Risk transformation professional will be addressing client issues such as business performance variability, business and process controls transformation; application security integrity, governance, risk and control (GRC) technology enablement, business and/or IT GRC, continuous monitoring, vendor and contract risk management and IT risk management.You will belong to an international network of specialists helping our clients transform risk functions and implement technology solutions that support risk management and governance.ResponsibilitiesExecute internal audit engagements and other advisory engagementsTake in-charge role in the engagement and coordinate with clients in various industriesAssist Engagement Manager with administrative tasks and project management; prepare proposal and others as assigned by manager and PartnersQualificationsMaster's or Bachelor's degree inAccounting, AIS, Business, Economics, or other related fieldsMinimum of 2 years’ experience for Senior Consultant Level in a similar role, and0-1 year of experience for Consultant level Good written and oral communications skills both in Thai and EnglishPossess logical and analytical thinkingStrong problem solving, analytical and interpersonal skills.Able to either work independently within given guidance or as part of a team.Adaptable and be able to work upcountry (occasionally).Computer literacy in MS officeContact usBANGKOK EY33rd Floor, Lake Rajada Office Complex193/136-137 Rajadapisek RoadKlongtoey, Bangkok 10110 ThailandPhone: +66 2264 0777Fax: +66 2264 0789 90 "
         Senior Audit Manager        ,"[('accounting', 'audit')]",            Senior level           ,,"           THB120,000 - 160,000 /month (includes high commission)                     ","          Full Time, Permanent         ","[' The Audit Manager is responsible for organising and overseeing internal audits in accordance with the annual audit plan, often managing a team of auditors. The Audit Manager will oversee the review process then make any necessary recommendations to change policies, implement new systems or even change employee roles and team structures. The Audit Manager will work directly with the Finance Director and company directors. The work of an Audit Manager ultimately helps companies fulfill their obligations to international and government compliance. Audit Manager role, duties and responsibilitiesAn Audit Manager will be expected to perform any of the following tasks:Identify risks and manageProduce reports highlighting issues and providing potential solutionsActive engagement with senior staff to gain a good understanding of the businessSupervise, coach and develop junior members of staff within teams Ensure compliance with internal (audit methodology and risk management) and external (regulatory) requirements Person Specification15 years of experience,Big 4 (KPMG, PWC, Deloitte, E&Y,) or Telco companies, Retail companies (Central Group, Big C,)Will do the audit planning for the whole country in all businesses,Develop the audit program,Comprehensive knowledge in practices i.e. revenue, treasury, Defer Tax, US Sarbanes Oxley act, Risk assessment,Experience of leading, supervising and coaching members of staffDelivering results and meeting client expectationsPlanning and organising Analysing and presenting recommendations']","['s:CPA,CIA,Argyll Scott Asia is acting as an Employment Agency in relation to this vacancy. ']"," The Audit Manager is responsible for organising and overseeing internal audits in accordance with the annual audit plan, often managing a team of auditors. The Audit Manager will oversee the review process then make any necessary recommendations to change policies, implement new systems or even change employee roles and team structures. The Audit Manager will work directly with the Finance Director and company directors. The work of an Audit Manager ultimately helps companies fulfill their obligations to international and government compliance. Audit Manager role, duties and responsibilitiesAn Audit Manager will be expected to perform any of the following tasks:Identify risks and manageProduce reports highlighting issues and providing potential solutionsActive engagement with senior staff to gain a good understanding of the businessSupervise, coach and develop junior members of staff within teams Ensure compliance with internal (audit methodology and risk management) and external (regulatory) requirements Person Specification15 years of experience,Big 4 (KPMG, PWC, Deloitte, E&Y,) or Telco companies, Retail companies (Central Group, Big C,)Will do the audit planning for the whole country in all businesses,Develop the audit program,Comprehensive knowledge in practices i.e. revenue, treasury, Defer Tax, US Sarbanes Oxley act, Risk assessment,Experience of leading, supervising and coaching members of staffDelivering results and meeting client expectationsPlanning and organising Analysing and presenting recommendationsQualifications:CPA,CIA,Argyll Scott Asia is acting as an Employment Agency in relation to this vacancy. "
         Tax Manager        ,"[('accounting', 'taxation')]",            Senior level           ,,           Salary negotiable                       ,"          Full Time, Permanent         ","["" Our clients are multi-national company in FMCG industries. They are looking for candidate which has strong experiences in corporate tax background with some experiences in excise and custom tax knowledge. Job description* Ensure compliance to Excise Tax law of products and make sure it align with company's strategy and follow the custom regulation.* Support Tax and Treasury on customs tax related issue, including representing the company to Customs Department* Review company's compliance with other tax laws such as income tax, VAT and withholding tax and provide recommendations to ensure compliance.* Support business in any new tax related project or special project i.e. transfer pricing, new business model & tax structure* Review and verify all tax filing/transactions (CIT, VAT, Withholding Tax (WHT), etc.) for compliance and correctness. ""]","[""* Bachelor's degree in finance and/or Accounting* 7 years of relevant wok experience with 2-3 year experience of handling corporate income Tax (VAT, WHT),* Detail-oriented* Good Logical thinking* Good communication skillsArgyll Scott Asia is acting as an Employment Agency in relation to this vacancy. ""]"," Our clients are multi-national company in FMCG industries. They are looking for candidate which has strong experiences in corporate tax background with some experiences in excise and custom tax knowledge. Job description* Ensure compliance to Excise Tax law of products and make sure it align with company's strategy and follow the custom regulation.* Support Tax and Treasury on customs tax related issue, including representing the company to Customs Department* Review company's compliance with other tax laws such as income tax, VAT and withholding tax and provide recommendations to ensure compliance.* Support business in any new tax related project or special project i.e. transfer pricing, new business model & tax structure* Review and verify all tax filing/transactions (CIT, VAT, Withholding Tax (WHT), etc.) for compliance and correctness. Qualification* Bachelor's degree in finance and/or Accounting* 7 years of relevant wok experience with 2-3 year experience of handling corporate income Tax (VAT, WHT),* Detail-oriented* Good Logical thinking* Good communication skillsArgyll Scott Asia is acting as an Employment Agency in relation to this vacancy. "
         Consultant/Senior Consultant - Cyber Security        ,"[('accounting', 'general-accounting'), ('management', 'general-management'), ('information-technology', 'it-consulting')]",            Entry Level           ,,           Salary negotiable                       ,"          Full Time, Permanent         ","['EY’s Cyber Security practice in Thailand provides services related to IT risk advisory and assurance services. The practice has been continuously growing in terms of both staff members and clients. Our success is derived through our people who strive their best to make a difference. We are currently seeking qualified candidates to join our dedicated team of information systems security and assurance professionals.Key ResponsibilitiesPerform IT security assessments for clients (e.g. security risk assessments, IT network infrastructure reviews, system technical configurations review, information security policies and processes/procedures review etc.)Work on IT security design and analysis, and business continuity management, ISMS assessment and implementation, and/or SOX implementation and assessment.Evaluate and analyze threat, vulnerability, impact and risk to security issues discovered from security assessmentsAdvise clients on the security issues, including explanation on the technical details and how they can remediate the vulnerabilities in the processes and controls']","[""sBachelor's degree or a Master's degree in Computer Engineering, ComSci, Information Systems, IT security, or other related fieldsProfessional experience in such areas as IT security management design and implementation, IT security assessment, BCM, and/or business process and control review; prior experience in project planning and management will be a plus.Mature, positive working attitude and willing to adapt self for team success.Capable to handle multiple tasks and assignments and pressure.Familiar with leading IT security and assurance frameworks such as ISO27001/2, ITIL, COBIT, ITGI guidelines and frameworks.Professional certifications such as Certified Ethical Hacker (CEH), Certified Information Systems Auditor (CISA) and / or Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM), or ISO27001 will be highly consideredThorough understanding of current technical concepts and professional standards and their application.Highly proficient in both English and Thai with good written and oral communication and analytical skills.Strong interpersonal skills and able to work both independently within given guidelines or as part of a team.Good personality and presentation skills.Reliable, energetic, proactive, self-motivated and pragmatic in approach.Contact usBANGKOK EY33rd Floor, Lake Rajada Office Complex193/136-137 Rajadapisek RoadKlongtoey, Bangkok 10110 ThailandPhone: +66 2264 0777Fax: +66 2264 0789 90 ""]","EY’s Cyber Security practice in Thailand provides services related to IT risk advisory and assurance services. The practice has been continuously growing in terms of both staff members and clients. Our success is derived through our people who strive their best to make a difference. We are currently seeking qualified candidates to join our dedicated team of information systems security and assurance professionals.Key ResponsibilitiesPerform IT security assessments for clients (e.g. security risk assessments, IT network infrastructure reviews, system technical configurations review, information security policies and processes/procedures review etc.)Work on IT security design and analysis, and business continuity management, ISMS assessment and implementation, and/or SOX implementation and assessment.Evaluate and analyze threat, vulnerability, impact and risk to security issues discovered from security assessmentsAdvise clients on the security issues, including explanation on the technical details and how they can remediate the vulnerabilities in the processes and controlsQualificationsBachelor's degree or a Master's degree in Computer Engineering, ComSci, Information Systems, IT security, or other related fieldsProfessional experience in such areas as IT security management design and implementation, IT security assessment, BCM, and/or business process and control review; prior experience in project planning and management will be a plus.Mature, positive working attitude and willing to adapt self for team success.Capable to handle multiple tasks and assignments and pressure.Familiar with leading IT security and assurance frameworks such as ISO27001/2, ITIL, COBIT, ITGI guidelines and frameworks.Professional certifications such as Certified Ethical Hacker (CEH), Certified Information Systems Auditor (CISA) and / or Certified Information Systems Security Professional (CISSP), Certified Information Security Manager (CISM), or ISO27001 will be highly consideredThorough understanding of current technical concepts and professional standards and their application.Highly proficient in both English and Thai with good written and oral communication and analytical skills.Strong interpersonal skills and able to work both independently within given guidelines or as part of a team.Good personality and presentation skills.Reliable, energetic, proactive, self-motivated and pragmatic in approach.Contact usBANGKOK EY33rd Floor, Lake Rajada Office Complex193/136-137 Rajadapisek RoadKlongtoey, Bangkok 10110 ThailandPhone: +66 2264 0777Fax: +66 2264 0789 90 "
